code;ENGLISH.;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
decimal_monetary_system_desc;Irving Fisher was one of the earliest American Neoclassicals of unusual mathematical sophistication. He made numerous important contributions to the Neoclassical Marginalist Revolution. This Yale economist was an eccentric and colourful figure. When Irving Fisher wrote his 1892 dissertation, he constructed a remarkable machine equipped with pumps, wheels, levers and pipes in order to illustrate his price theory—see here for pictures of his draft and his first and second prototypes. Socially, he was an avid advocate of eugenics and health food diets. He  made a fortune with his visible index card system—known today as the rolodex—and advocated the establishment of a 100 percent reserve requirement banking system. His fortune was lost and his reputation was severely marred by the 1929 Wall Street Crash, when just days before the crash, he was reassuring investors that stock prices were not overinflated but, rather, had achieved a new, permanent plateau.;En supprimant des divisions monétaires étranges ou non standard, comme la guinée ou le shilling, et en adoptant un système décimal comme aux États-Unis, on simplifia l'usage quotidien de la monnaie.;Durch die Abschaffung nicht genormter und unüblicher Währungsunterteilungen wie Guineen, Schillinge usw. und die Verwendung eines Dezimalsystems wie in den USA wurde der tägliche Gebrauch von Geld vereinfacht.;;;;;;;;;;;x
decisive_firepower_doctrine;Ivan Pavlov was a Russian physiologist and winner of the Nobel Prize for his work on reflexes in digestion. In the course of studies with dogs and salivation, Pavlov observed that the dogs elicited a certain type of salivation with certain signals that preceded the arrival of food. In his 1927 study, Pavlov laid out the basic principles of classical conditioning in Behaviourism. The food was the unconditioned stimulus for salivation. The signal became associated with salivation as a conditioned stimulus, with salivation to the sound of the signal alone becoming the new conditioned response. Extinction, recovery, generalization and discrimination were identified in subsequent studies.;Doctrine de puissance de feu décisive;Defensive Feuerkraftsdoktrin;;;;;;;;;;;x
decisive_firepower_doctrine_desc;This was a mechanized power loom that produced fabric with a much higher quality than before.;;Einhergehend mit dem Bau moderner Schlachtschiffe mit großkalibrigen Geschützen versuchten viele Admiräle verständlicherweise, so viele dieser Schlachtschiffe wie möglich in einer einzelnen Flotte zu konzentrieren und die gegnerische Hauptflotte zu einer Entscheidungsschlacht zu stellen. Bei dieser Denkweise standen die Anzahl der verfügbaren Geschütze und deren Kaliber im Mittelpunkt.;;;;;;;;;;;x
declaration_of_the_rights_of_man;James Mill was a radical thinker that worked in the shadows of the brilliant, Jeremy Bentham. Together this two men can be described as the inventors of Utilitarianism, and much of its general applicability was explained in Mill’s works, ‘Elements of Political Economy’ (1821) and ‘Analysis of the Phenomenon of the Human Mind’ (1829).;;;;;;;;;;;;;x
declaration_of_the_rights_of_man_desc;Originating in the fusion of Western musical tradition with elements of traditional African music, Jazz evolved out of the nightclubs of New Orleans in the southern United States in the early twentieth century. Its blend of frenetic, intoxicating rhythms, powerful melodies which encouraged improvisation by performers to add their own distinctive touches to each performance, and energetic vocals would hit upon the world just as new technologies to spread new music, such as the phonograph record, radio and sound cinema, provided a platform to showcase it to a worldwide audience. In the 1920s it became one of the dominant forms of popular music in the world, though many of the traditional arbiters of taste frowned upon its popularity as further proof that society was rebelling against proper authority.;;;;;;;;;;;;;x
deep_defense_system;John Broadus Watson was an American psychologist who studied Pavlovian conditioning in humans. Watson’s most famous experiment involved conditioning an 11-year old child named Albert to associate a conditioned stimulus to an unconditioned stimulus. Watson’s research later led to clinical treatments extinguishing irrational fears in people. After being dismissed from Harvard over an affair and marriage with a graduate student, Watson brought his research experience to a prominent advertising firm. Modern advertising owed much to behaviourist psychology and conditioning concepts.;Défense en profondeur;Raumverteidigungssystem;;;;;;;;;;;x
deep_defense_system_desc;Jean-Baptiste Say was a French scholar active in the field of political economy. A contemporary of Adam Smith, he also advocated economic competition and freedom of trade. He wrote the ‘Traité d’économie politique ou simple exposition de la manière dont se forment, se distribuent et se composent les richesses’, originally published in 1803. Say’s Law of Markets was derived thus from his treatise, ‘Inherent in supply is the wherewithal for its own consumption.’.;Défense en profondeur;Raumverteidigungssystem;;;;;;;;;;;x
deep_mines;Jaurès was elected to the Chamber of Deputies in 1885. Defeated in the 1889 elections he returned to the University of Toulouse. He became increasingly radical in his political views and after reading Karl Marx he began advocating socialism. He was not a revolutionary and supported the Independent Socialists. While out of parliament Jaurès completed his mammoth Socialist History of the French Revolution. He also joined with Aristide Briand and Rene Viviani in 1904 to establish the left-wing newspaper L’Humanité in 1904. A new Socialist Party under Jaurès grew rapidly at the beginning of the century but split over the correct response to German militarism. Jaurès advocated a policy of international arbitration whereas others supported the Triple Entente.;;;;;;;;;;;;;x
deep_mines_desc;A noted British mathematical physicist who pioneered work in artificial intelligence.;;;;;;;;;;;;;x
deep_mining;The introduction of jigs vastly increased the efficiency of all machines, which in its turn helped increase most industrial production.;;;;;;;;;;;;;x
deep_mining_desc;Johann Heinrich von Thünen was a North German landowner from the Mecklenburg area. Although educated at Göttingen, he spent most of his life managing his rural estate, Tellow. In the first volume of his treatise, ‘The Isolated State’, he laid down the first serious treatment of spatial economics, connecting with the theory of rent. His second volume developed the essence of the marginal productivity theory of distribution in a mathematically precise way, thereby making one of the most important Proto-Marginalists of the era. Nearing his death, he asked that his famous equation for the marginal product of labour, or natural wage, be carved into his tombstone.;;;;;;;;;;;;;x
deep_shaft_mining;John Elliot Cairnes was a follower of John Stuart Mill. His ‘The Slave Power’, a defence of the North in the American Civil War, made a great impression in England. He has written about noncompeting groups in the labour market and is known for his distrust of mathematical economics. Among his works are ‘The Character and Logical Method of Political Economy’ and ‘Some Leading Principles of Political Economy Newly Expounded’.;;;;;;;;;;;;;x
deep_shaft_mining_desc;An English economist who challenged the orthodox view of the role of the State in the management of economic forces in society and the relationship between supply and demand in times of economic crisis. Drawing upon the abilities of states to mobilize their economies during wars with other industrial nations, Keynes maintained that the State could use its influence to promote more efficient economic development. But his most radical theory involved the role of aggregate demand in the economy, arguing that it was demand, not supply, that was the final determinant in the levels of output and growth that an economy could produce, and that in times of economic slowdown or crisis, the solution to the crisis involved revival of demand to absorb excess supply and create the conditions for a revival of production to meet further increases in demand. While his theories had many critics, they became highly influential as the twentieth century progressed.;;;;;;;;;;;;;x
defamation_of_women;A prolific Scottish journalist, John Ramsay McCulloch was one of the most ardent and doctrinaire expositors of  the Classical Ricardian School. McCulloch began his career as the editor of The Scotsman, eventually moving on to the whiggish Edinburgh Review, where he served as economics editor until the late 1830s. McCulloch used his position at the Review to popularize the Classical theories and promote his favourite economic policies, such as the repeal of the Corn Laws, the retention of the Poor Laws and the legalization of trade unions. McCulloch also lectured on political economy at University College London from 1828 to 1832. In 1838, he was appointed the Comptroller of HM Stationary Office. McCulloch’s main work, ‘Principles’ (1825), was perhaps the first successful ‘serious’ textbook in economics (and a rather loyal reading of Ricardo’s theory). However, McCulloch is often considered a ‘lightweight’ in terms of the development of economic theory. His main contribution was the ill-fated ‘wages fund’ doctrine (1824,1825, 1826). McCulloch was also the editor of the 1828 edition of Adam Smith’s ‘Wealth of Nations’ and the 1846 edition of David Ricardo’s works. He also composed some of the earliest accounts of the history of economic thought (naturally, flattering to the Ricardians).  His monumental 1837 treatise provides a statistical account of the failure of the Malthusian population doctrine.;;;;;;;;;;;;;x
defamation_of_women_desc;John Stuart Mill was the son of James Mill, the famous utilitarian, he quickly became known as one of the more brilliant minds of the United Kingdom, and also one of the more radical. He published several book among them,  ‘A System of Logic’ (1843), ‘Principles of Political Economy’ (1848), ‘On Liberty’ (1859), ‘Considerations on Representative Government’ (1861) and ‘Utilitarianism’ (1861), all of which made him the centre-figure of social-liberalism and a more humane view of society.;;;;;;;;;;;;;x
defensive_attitude;This legislation increased the possibilities for firms to get infusions of capital in an effective way. It also gave private investors the highest possible return on investment at a certain risk.;Attitude défensive;Defensive Ausrichtung;;;;;;;;;;;x
defensive_attitude_desc;Antoine-Henri Jomini was a general in the French and later Russian service, and one of the most celebrated writers on the Napoleonic art of war. He took the view that the amount of force deployed should be kept to the minimum in order to lower casualties and that war was a science, not an art. While in Russian service, Jomini tried hard to promote a more scientific approach at the general staff academy he helped found.;Cela consistait à avoir une marine de haute mer n'intervenant qu'en dernier recours ou pour saisir une superbe occasion.;Dies bedeutete, eine Hochseeflotte als Fleet-in-being vor Anker zu haben, die nur zu einer Entscheidungsschlacht oder bei einer großen Gelegenheit auslaufen würde.;;;;;;;;;;;x
delegated_power;Joseph Lister was a British surgeon and a pioneer of antiseptic surgery, who promoted the idea of sterile surgery while working at the Glasgow Royal Infirmary. Lister successfully introduced carbolic acid to sterilise surgical instruments and to clean wounds, which led to reducing post-operative infections and made surgery safer for patients.;Délégation de pouvoir;Delegierte Befehlsgewalt;;;;;;;;;;;x
delegated_power_desc;After a quick doctorate at Vienna, Schumpeter roamed about as something of a footloose lawyer until he re-joined academia in 1909. It was while he was teaching at Czernowitz (now in the Ukraine) that he wrote his Theory of Economic Development (1911), where he first outlined his famous theory of entrepreneurship. He argued those daring spirits, entrepreneurs, created technical and financial innovations in the face of competition and falling profits—and that it was these spurts of activity which generated (irregular) economic growth. In 1919, Schumpeter became the Austrian Minister of Finance—unfortunately, presiding over the hyperinflation of the period, and thus was dismissed later that year. Although excelling as a teacher above everything, Joseph Schumpeter nonetheless completed three more books while at Harvard: his didactic Business Cycles (1939), his popular Capitalism, Socialism and Democracy(1942)—in which he famously predicted the downfall of capitalism in the hands of intellectuals.;;Dies bedeutete, dass ein Offizier einem oder mehreren Untergebenen vorübergehend die Befehlsgewalt für klar definierte Aufgabengebiete übergeben konnte. Dies bedeutete, dass er nicht ständig alles selbst kontrollieren musste und sich auf die wichtigsten Probleme konzentrieren konnte.;;;;;;;;;;;x
denis_diderot;Jules Dupuit was perhaps the most illustrious of the French engineer-economists. Trained at the École des Ponts et Chaussées in Paris, Dupuit had a distinguished career as a civil engineer. From his work with infrastructure he was inspired to develop economic theory deeper.;;;;;;;;;;;;;x
denis_diderot_desc;Carl Gustav Jung was a Swiss psychiatrist, an influential thinker, and the founder of analytical psychology. Jung is often considered the first modern psychologist to state that the human psyche is ‘by nature religious’ and to explore it in depth. Those not the first to analyse dreams, he has become perhaps one of the most well-known pioneers in the field of dream analysis. Unlike Freud, he was a self-described natural scientist and not a theoretical psychologist. For Jung this salient distinction revolved around his initial process of deep observation followed by categorizations rather than the reverse process of imagining what categories exist and then proceeding to seek for proof of and then discover that one was correct.;;;;;;;;;;;;;x
destroyers;Description goes here.;Destroyers;Zerstörer;;;;;;;;;;;x
destroyers_desc;Karen Horney was a German psychoanalyst. She came to criticize Freud’s emphasis on sex and aggressive as motivating drives. Horney focused on security instead as the central, inborn human need. In her view, child development was contingent upon parental fulfilment of the child’s ‘basic anxiety’ emotion. Success would result in a trusting individual, while failure would result in insecurity. Insecurity and distrust manifests itself in personality as either avoidance, submission or dominance.;Les destroyers servent essentiellement à lutter contre la menace croissante des torpilleurs. Ils possèdent plusieurs tourelles de petit calibre capables de dresser un barrage d'obus devant leurs petites cibles.;Zerstörer wurden hauptsächlich zur Bekämpfung der wachsenden Bedrohung durch Torpedoboote gebaut. Sie waren mit mehreren kleinkalibrigen Geschütztürmen bewaffnet, die sich gut zum Beschuss kleinerer Schiffe eigneten.;;;;;;;;;;;x
determinism;Karl Kautsky joined the Social Democrat Party (SDP) and was responsible for drafting the Erfurt Program which committed the SDP to an evolutionary form of Marxism. He also wrote and published ‘The Economic Doctrines of Karl Marx’ (1887) and ‘Thomas Moore and His Utopia’ (1888). After a while he broke with Bernstein, whom he viewed to lenient and instead stayed true to his more revolutionary view of socialism.;Déterminisme;Determinismus;;;;;;;;;;;x
determinism_desc;Knies’s linear stages argument spoke of ‘moral progress’ which would render most theories obsolete. His 1873 work, however, contained little of the historical method in it. His political involvements earned him temporary exile in 1848. He wrote ‘Political Economy from the Standpoint of the Historical Method’ (1853), and ‘Money and Credit’ (1873).;Le déterminisme est une doctrine philosophique affirmant que chaque événement est la conséquence inévitable de causes suffisantes. On le perçoit souvent comme le rejet du libre-arbitre.;Der Determinismus ist eine philosophische Denkrichtung, die alle Ereignisse als unvermeidbare Konsequenzen hinreichender Gründe sieht. Dies wird oft als die Leugnung der Möglichkeit freien Willens gesehen.;;;;;;;;;;;x
diode;Karl Marx was originally disciple of Hegel, but evolved his idealistic philosophy. Later in Paris he began mixing with members of the working class for the first time. Marx was shocked by their poverty but impressed by their sense of comradeship. In an article that he wrote for the Franco-German Annals, Marx applied Hegel’s dialectic theory to what he had observed in Paris. Marx, who now described himself as a communist, argued that the working class (the proletariat), would eventually be the emancipators of society. Marx’ most influential works were, The German Ideology, The Communist Manifesto, Principles of Communism, and Das Kapital. For most of his life he lived in England where he published his works and from where he became the most influential socialist of all time.;;;;;;;;;;;;;x
diode_desc;Keynesian Economics.;;;;;;;;;;;;;x
direct_current;He was a Swedish economist whose work led to the widespread use of the word ‘natural’ to explain the long-run equilibrium rate of interest. Wicksell had a tremendous influence on economist James M. Buchanan. According to Buchanan, his theory of public choice ‘was an almost natural consequence of my absorption of the Wicksellian message,’ which stated that economists must cease acting as if government were a benevolent despot. Wicksell was a Malthusian and a strong advocate of birth control. He spoke out on moral issues quite often. He is best known for his work in ‘Interest and Prices’, in which he laid out his version of the quantity theory of money. His version was different from the standard view at that time in that he looked at the indirect effect that the money supply has on prices. Wicksell also elaborated on the theory of marginal productivity, which states that the payment to each factor of production equals that factors marginal productivity. He also stated that an efficient allocation of resources does not guarantee equitable distribution, because the pre-existing distribution of income determines what form this allocation will take, and the pre-existing distribution of income is not always just. The Stockholm School developed its own version of macroeconomics, which was based on Wicksell’s work on quantity and price theory.;Courant continu;Gleichstrom;;;;;;;;;;;x
direct_current_desc;Krupp Cemented Steel uses a ‘gas cementing’ process to produce thick steel armour with a very tough face. This ‘KC’ Steel became the standard for battleships in the 20th century. It was twice as effective against armour-piercing shells as plain steel plate.;;Die erste gängige Methode zur Übertragung von Elektrizität war über Gleichstrom, bei dem die Elektronen nur in eine Richtung fließen. Batterien produzieren Gleichstrom, der üblicherweise in Geräten mit niedrigen Betriebsspannungen zum Einsatz kommt. Hochspannungsgleichstrom wird zur Langstrecken-Stromübertragung eingesetzt, besonders bei der Verwendung von Unterwasserkabeln und zum Antrieb von Zügen. Thomas Alva Edison setzte sich für den Gleichstrom ein, verlor den Standardstreit aber gegen Nikola Tesla und dessen Wechselstrom.;;;;;;;;;;;x
dismantle_declared;The Lancashire Loom is a self-acting loom, though it has to be stopped to recharge empty shuttles. The principal advantage of the Lancashire loom was that it was semi-automatic, when a warp thread broke the weaver was notified. When the shuttle ran out of thread, the machine stopped. An operative thus could work 4 or more looms whereas previously they could only work a single loom. Indeed, the term A Four Loom Weaver was used to describe the operatives. Labour cost was quartered. In some mills an operative would operate 6 or even 8 looms.;;;;;;;;;;;;;x
distribution_channels;A cultural shift has begun towards families having many children, with the resulting strain on educational facilities. Having many children is considered to be a sign of success, despite the economic hardships that might otherwise be endured.;Canaux de distribution;Vertriebswege;;;;;;;;;;;x
distribution_channels_desc;By making the hull bigger and broader the ship could be equipped with bigger guns and also bigger machinery without losing stability. The better engines also compensated for the increased weight of the ship.;;Als die Verlaufskette vom Rohprodukt zum fertigen Wertschöpfungsprodukt länger wurde, richtete man spezialisierte Vertriebswege ein. Manche Firmen spezialisierten sich auf die Verteilung an Geschäfte, was die Belieferung effizienter gestaltete.;;;;;;;;;;;x
dmitri_mendeleev;Time goes on—and so does our weapon development.;;;;;;;;;;;;;x
dmitri_mendeleev_desc;Time goes on—and so does our doctrine development.;;;;;;;;;;;;;x
dobby_loom;Time goes on—and so does our weapon development.;;;;;;;;;;;;;x
dobby_loom_desc;Time goes on—and so does our leadership development.;;;;;;;;;;;;;x
dogma_of_mass_action;Time goes on—and so does our weapon development.;Dogme de l'action de masse;Dogma der Massenaktion;;;;;;;;;;;x
dogma_of_mass_action_desc;Time goes on—and so does our doctrine development.;;Zu einem bestimmten Zeitpunkt entwickelte sich aus dem allgemeinen Revanchismus eine Denkrichtung heraus, die als Dogma der Massenaktion bekannt werden sollte: Hierbei ging es darum, dass sich der einfache Arbeiter durch Massenaktionen wie Demonstrationen und Streiks bewusst werden konnte, was gut für ihn ist.;;;;;;;;;;;x
dogma_of_violence;Time goes on—and so does our leadership development.;Dogme de la violence;Dogma der Gewalt;;;;;;;;;;;x
dogma_of_violence_desc;Time goes on—and so does our logistics development.;Le dogme de la violence est issu du radicalisme général de l'époque. Il affirmait que seule la violence permettait de changer l'ancienne société pour en bâtir une nouvelle.;Zu einem bestimmten Zeitpunkt entwickelte sich aus dem allgemeinen Revanchismus eine Denkrichtung heraus, die als Dogma der Gewalt bekannt werden sollte: Hierbei ging es darum, dass die alte Gesellschaft nur mit Hilfe von Gewalt entfernt und mit einer neuen ersetzt werden konnte.;;;;;;;;;;;x
double_seams;Time goes on—and so does our weapon development.;;;;;;;;;;;;;x
double_seams_desc;Time goes on—and so does our doctrine development.;;;;;;;;;;;;;x
double_standard;Time goes on—and so does our weapon development.;Double étalon;Doppelstandard;;;;;;;;;;;x
double_standard_desc;Time goes on—and so does our leadership development.;;Dies bedeutete ein Währungssystem, für das Gold und Silber als parallele Währungseinheiten fungierten. Es versetzte den Staat in die Lage, jederzeit billiges Geld zu produzieren. Die Preisunterschiede zwischen den Währungen konnten für den einzelnen Bürger aber gravierende Folgen haben.;;;;;;;;;;;x
dragoon_activation;Time goes on—and so does our weapon development.;;Dragoner;;;;;;;;;;;x
dragoon_activation_desc;Time goes on—and so does our doctrine development.;;Das Wort Dragoner bezog sich ursprünglich auf berittene Infanterie, die sowohl im Reiten als auch in Kampfkünsten der Infanterie ausgebildet wurden. Mit der Zeit änderte sich die Anwendung, sodass sich Dragoner im 18. Jahrhundert zu konventionellen, leichten Kavallerieeinheiten und Besatzungen entwickelten. Dragoner-Regimenter etablierten sich im späten 17. und frühen 18. Jahrhundert in den meisten Armeen Europas. In den Napoleonischen Kriegen übernahmen Dragoner vorwiegend eine Kavallerie-Rolle, waren allerdings eine leichtere Klasse berittener Truppen als die gepanzerten Kürassiere.;;;;;;;;;;;x
dreadnoughts;Time goes on—and so does our leadership development.;Cuirassés lourds;Dreadnoughts;;;;;;;;;;;x
dreadnoughts_desc;Time goes on—and so does our logistics development.;Les cuirassés lourds sont les plus gros bâtiments de guerre de ce début de siècle. Ils sont équipés de plusieurs pièces de gros calibre et peuvent encaisser d'importants dégâts tout en restant très dangereux pour la flotte ennemie.;Dreadnoughts waren zur Jahrhundertwende die mächtigsten Kampfschiffe. Mit ihren zahlreichen großkalibrigen Geschützen waren sie eine tödliche Gefahr für den Feind und konnten selbst etliche Treffer einstecken.;;;;;;;;;;;x
drilled;Late Classical Theory.;;;;;;;;;;;;;x
drilled_desc;Colonial ventures required arms production, but standard procedures often fell short. Thus, new methods were devised.;;;;;;;;;;;;;x
drilling_and_blasting;Ships with ever increasing naval ranges meant new methods of supply manufacture had to be devised.;;;;;;;;;;;;;x
drilling_and_blasting_desc;Enlightenment Philosophy.;;;;;;;;;;;;;x
drying_techniques;Advances in aircraft design, improvements to construction, and improved aircraft engines greatly enhanced the abilities of bombers to accomplish their missions. Increased range, greater payloads, and better armouring all made bombers a much greater threat to combatant nations.;Techniques de séchage;Trockentechniken;;;;;;;;;;;x
drying_techniques_desc;In a never-ending cycle, advances in one area led directly to advances in other areas. Dedicated fighter aircraft, whose role is to engage enemy aircraft, gained advantages from the same sources as bombers, and in response to advances in bomber aircraft. New engines, better designs, improved sights, and improved guns made these fighters among the deadliest things in the air.;En séchant les aliments, on a décuplé leur temps de conservation et facilité leur mise en vente.;Durch die Trocknung von Lebensmitteln konnte deren Haltbarkeit verzehnfacht und der Lebensmittelverkauf damit stark vereinfacht werden.;;;;;;;;;;;x
dynamite;Vladimir Ilyich Lenin was a Russian Marxist revolutionary, author, lawyer, economic theorist, political philosopher as well as the creator of the Soviet Communist Party and the leader of the 1917 October Revolution. As a theorist, his extensive theoretical and philosophical contributions to Marxism produced Leninism.;;;;;;;;;;;;;x
dynamite_desc;The French economist Léon Walras has been hailed by Joseph Schumpeter as ‘the greatest of all economists’. Walras was one of the three leaders of the Marginalist Revolution, even though his greatest work, ‘Elements of Pure Economics,’ was published in 1874, three years after those of William Stanley Jevons and Carl Menger. Nonetheless, alone among the three revolutionaries, Léon Walras set forth the new ‘marginalist’ or ‘Neoclassical’ theory in a formal general equilibrium setting. Thus, he endowed it with the multi-market considerations Jevons had largely avoided and the mathematical precision Menger had eschewed. Léon Walras is widely and rightfully regarded as the father of general equilibrium theory.;;;;;;;;;;;;;x
early_1930_army_armament;This was a term coined during the French Revolution to describe the mass conscription of able-bodied men in the defence of France. Mass mobilisation was not a new idea in historical terms, but the Levée was a modern application of the Enlightenment idea of the national citizen replacing that of the royal subject. The Levée heralded the dramatic expansion of armies in the nineteenth and twentieth centuries.;;;;;;;;;;;;;x
early_1930_army_armament_desc;This is the development of the main side arms of your units. The applications will upgrade the combat values of your divisions. Better applications within this branch will increase the Fire attack value of your units.;;;;;;;;;;;;;x
early_1930_army_doctrine;As experience from the Great War demonstrated, infantry units, especially those operating in rough terrain, needed a viable option for increased fire power. Traditional guns were too heavy, and too bulky to be used effectively or moved rapidly in adverse conditions. Shorter range guns of smaller calibres, which were easily moved by horse, vehicle, or manpower, were developed to fill this need. these are the so called ‘mountain guns.’.;;;;;;;;;;;;;x
early_1930_army_doctrine_desc;Light Cruisers are basically Cruisers with additional armaments. They are still not as heavily armoured as battleships and as a result still retain some of the extra speed.;;;;;;;;;;;;;x
early_1930_army_heavy_armament;A major step forward in tank technology was the light tank. Generally mounting machine guns or a light gun, these were the first ‘true’ tanks to be produced. Used in an infantry-support role, these tanks gave divisions much-needed mobile fire power with a solid defensive capability.;;;;;;;;;;;;;x
early_1930_army_heavy_armament_desc;By setting up lighting in the factory building the efficiency of the production increased. Workers could now work in nightshifts which further increased it.;;;;;;;;;;;;;x
early_1930_army_leadership;Limited-Access Roads.;;;;;;;;;;;;;x
early_1930_army_leadership_desc;This was the first legislation enacting the possibilities for ownership in a firm without direct responsibility. This was the first step to ensure infusion of capital form private citizens.;;;;;;;;;;;;;x
early_1930_navy_armament;This meant that a bankrupted firm got its assets sold to pay of the moneylenders. This was a complex but important set of laws that was the first step to a stable jurisdiction for bankruptcies.;;;;;;;;;;;;;x
early_1930_navy_armament_desc;When literate NCOs started to flock to the ranks the average quality of the units and the training of the soldiers increased.;;;;;;;;;;;;;x
early_1930_navy_doctrine;Lixiviation milling, also known as Heap leaching, is an industrial mining process used to extract precious metals, copper, uranium, and other compounds from ore using a series of chemical reactions that absorb specific minerals and re-separate them after their division from other earth materials.;;;;;;;;;;;;;x
early_1930_navy_doctrine_desc;Local excavations are held to train our archaeologists.;;;;;;;;;;;;;x
early_1930_navy_leadership;In a highly militarized society, or a normal society in war, often needed not only military-civilian cooperation boards on a local level, but sometimes most of the local government could be appointed officers. This meant not only a strong military control, but also that the power of the Navy increased disproportionately in comparison to other governmental agencies.;;;;;;;;;;;;;x
early_1930_navy_leadership_desc;Logging is the process of systematically harvesting a country’s timber resources, replacing traditional methods of lumberjacking that relied primarily on disorganized groups of laborers cutting down what trees they could find and selling the timber on the market in a manner similar to farmers.;;;;;;;;;;;;;x
early_1930_navy_logistics;Logical positivists denied the soundness of metaphysics and traditional philosophy. They asserted that many philosophical problems are indeed meaningless, primarily concerned with the logical analysis of scientific knowledge. They though failed to secure what they themselves considered to be the sound foundation of knowledge and is today most often considered a dead-end.;;;;;;;;;;;;;x
early_1930_navy_logistics_desc;These standard measurements of how much supplies and reinforcements a standards unit needed during a defined time period made it easier to plan for a war.;;;;;;;;;;;;;x
early_1940_army_armament;Alvin Lombard patented an effective continuous track system in 1901. This method of vehicle propulsion consisted of an interlocking band of hardened metal plates rotating around two or more wheels. Benjamin Holt acquired the patent in 1905 and began mass production. Holt later trademarked his system as ‘Caterpillar Tracks’ after soldiers likened it to the movements of a caterpillar. Holt’s track system was one of the key elements in the development of construction equipment and tanks.;;;;;;;;;;;;;x
early_1940_army_armament_desc;This tactic meant lying off the firing range of the enemy’s guns and hitting them with longer ranging guns, or by quickly moving in to get off the guns and then quickly move out to be out of enemy range.;;;;;;;;;;;;;x
early_1940_army_doctrine;Louis Pasteur was a French chemist and microbiologist who is remembered for his remarkable breakthroughs in the causes and preventions of diseases. His discoveries reduced mortality from puerperal fever, and he created the first vaccine for rabies and anthrax. He was best known to the public for inventing a method to stop milk and wine from causing sickness, a process that came to be called pasteurization.;;;;;;;;;;;;;x
early_1940_army_doctrine_desc;Description goes here.;;;;;;;;;;;;;x
early_1940_army_heavy_armament;An Austrian economist who would challenge the growing influence of Keynesian economics upon the actions of the State in the 1930s. Von Mises argued that the attempt by the State to use its resources to revive demand in the economy created dangerous potentials for inflation of the economy and severe imbalances in the ability of the marketplace to find the balance between supply and demand that would ensure stable economic growth. Von Mises was also a sharp critic of socialist economic models, arguing that such models removed the ability of the market to determine price levels that would ensure adequate supply based on the demands of consumers for goods.;;;;;;;;;;;;;x
early_1940_army_heavy_armament_desc;Small lumbering operations have grown into an industry capable of building giant mills, all to feed our growing need for construction material.;;;;;;;;;;;;;x
early_1940_army_leadership;The production of finery has moved from the work of individual artisans to factories where such clothing can be produced en masse.;;;;;;;;;;;;;x
early_1940_army_leadership_desc;Our nation’s industry has become slowly turned towards the production of luxury goods such as boots, wine, cigars and luxury clothing and furniture.;;;;;;;;;;;;;x
early_1940_navy_armament;The Gatling gun, patented in 1861 by Richard Jordan Gatling, was the first to offer controlled, sequential fire with automatic loading. It first saw very limited action in the American Civil War it was subsequently improved and used in the Franco-Prussian war and North-West Rebellion. Many were sold to other armies in the late 19th century and continued to be used into the early 20th century. The first self-powered machine gun was invented in 1885 by Sir Hiram Maxim. The ‘Maxim gun’ used the recoil power of the previously fired bullet to reload rather than being hand-powered, enabling a much higher rate of fire than was possible using earlier designs such as the Nordenfelt and Gatling weapons.;;;;;;;;;;;;;x
early_1940_navy_armament_desc;Machine guns have been successfully deployed throughout our armed forces, upgrading their existing firepower significantly.;;;;;;;;;;;;;x
early_1940_navy_doctrine;Machine Guns.;;;;;;;;;;;;;x
early_1940_navy_doctrine_desc;A cumulative process of inventions and improvements have enabled canning factories to mechanize the production of cans and replace the tinned wrought-iron used with cheap steel. These new cans were smaller and could be produced in greater quantities to meet a growing demand.;;;;;;;;;;;;;x
early_1940_navy_leadership;By constructing special machines that produced standardized machine tools the exchangeability in industry was vastly improved.;;;;;;;;;;;;;x
early_1940_navy_leadership_desc;"Mackinder’s Heartland Theory hypothesized a huge empire being brought into existence in the Heartland—which wouldn’t need to use coastal or transoceanic transport to remain coherent. The basic notions of Mackinder’s doctrine involve considering the geography of the Earth as being divided into two sections: The World Island, comprising Eurasia and Africa; and the Peripheral ‘islands’, including the Americas, Australia, Japan, the British Isles, and Oceania. Mackinder’s notion of geopolitics was summed up when he said: ‘Who rules Central and Eastern Europe commands the Heartland. Who rules the Heartland commands the World-Island. Who rules the World-Island commands the World.’ His doctrine was influential during the World Wars and the Cold War, as Germany and later Russia each made territorial strides toward the ‘Heartland’.";;;;;;;;;;;;;x
early_1940_navy_logistics;Mohandas Karamchand Gandhi was the preeminent leader of Indian independence movement in British-ruled India. Employing nonviolent civil disobedience, Gandhi led India to independence and inspired movements for civil rights and freedom across the world. Gandhi famously led Indians in challenging the British-imposed salt tax with the 400 km Dandi Salt March in 1930, and later in calling for the British to Quit India in 1942. He was imprisoned for many years, upon many occasions, in both South Africa and India. Gandhi attempted to practise nonviolence and truth in all situations, and advocated that others do the same. He lived modestly in a self-sufficient residential community and wore the traditional Indian dhoti and shawl, woven with yarn hand spun on a charkha. He ate simple vegetarian food, and also undertook long fasts as a means to both self-purification and social protest. Nathuram Godse, a Hindu nationalist, assassinated Gandhi on 30 January 1948 by firing three bullets into his chest at point-blank range.;;;;;;;;;;;;;x
