;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;;
mussolini_desc;Benito Amilcare Andrea Mussolini was an Italian politician who led the National Fascist Party and is credited with being one of the key figures in the creation of Fascism.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
prophylactics;Prophylactics;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
prophylactics_desc;The invention of modern methods of voluntary birth control are having a profound effect on the national birth rate, as citizens (particularly the wealthy) are able to exert far more control over when and how often they have children.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
joseph_lister;Joseph Lister;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
joseph_lister_desc;Joseph Lister was a British surgeon and a pioneer of antiseptic surgery, who promoted the idea of sterile surgery while working at the Glasgow Royal Infirmary. Lister successfully introduced carbolic acide to sterilise surgical instruments and to clean wounds, which led to reducing post-operative infections and made surgery safer for patients.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
louis_pasteur;Louis Pasteur;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
louis_pasteur_desc;Louis Pasteur was a French chemist and microbioligist who is remembered for his remarkable breakthroughs in the causes and preventions of diseases. His discoveries reduced mortality from puerperal fever, and he created the first vaccine for rabies and anthrax. He was best known to the public for inventing a method to stop milk and wine from causing sickness, a process that came to be called pasteurization.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
robert_koch;Robert Koch;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
robert_koch_desc;Rpbert Koch was a Prussian physician who is consdiered one of the founders of microbiology, inspiring such major figures as Paul Ehrlich and Gerhard Domagk.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
cholera_vaccine;Cholera Vaccine;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cholera_vaccine_desc;A vaccine has been developed which should stop the spread of cholera in our country, and which indeed should be a blow against the affliction throughout the world.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
anaesthesia;Anaesthesia;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
anaesthesia_desc; The development of anaesthesia will allows patients to undergo surgery without the distress and pain they would otherwise experience. It is an incredible advancement in medical technology.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
antitoxins;Antitoxins;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
antitoxins_desc;The development of antitoxins is an advance that not only allows the medical field to combat poisons, but also to develop and further their understanding of how to kill bacteria and other microorganisms which are responsible for many afflictions.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
vitamins;Vitamins;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
vitamins_desc;Until the development of vitamins, the only method that nutrients could be obtained was solely through food intake. Vitamins will increase the health of our populace greatly.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
sanitation;Sanitation;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
sanitation_desc;It was not until the development of sanitation that the presence of waste and sewage in cities was even considered to be a health issue. Once methods were introduced to remove waste and keep the streets clean, it became possible for rodent infestations to be reduced in size and for cities to rapidly grow.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
small_families;Small Families;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
small_families_desc;Our people are currently focused on improving their lives and the lives of their families, no longer worried as they once were of high mortality. The average family is now considered to be much smaller than it once was, and large numbers of children are no longer encouraged or considered the norm.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
medium_families;Medium Families;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
medium_families_desc;A cultural shift has begun which has led to families no longer being as large as they once were. Having many children, in order to see them live to adulthood and carry on tradition, is no longer considered the norm. It is, however, still considered important for families to have as many children as they can afford.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
large_families;Large Families;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
large_families_desc;A cultural shift has begin towards families having many children, with the resulting strain on educational facilities. Having many children is considered to be a sign of success, despite the economic hardships that might otherwise be endured.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
thomas_robert_malthus;Thomas Robert Malthus;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
thomas_robert_malthus_desc;Thomas Robert Malthus was a British scholar, influential in political economy and demography. Malthus popularised the economic theory of rent.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
defamation_of_women;Defamation of Woman;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
defamation_of_women_desc;A cultural shift has begun which assigns to women a lesser status than that of men, even beyond their traditional inability to partake in politics. Common thought is that women are lesser creatures, best suited as chattel and as producers of children.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
child_labour;Child Labour;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
child_labour_desc;The advancement of the industrial revolution has meant a shortage of workers, and thus industrialists have turned to the cheapest and most plentiful source of labour they can find: children. For many children in the cities, where there is no other work available and their families are already struggling to survive, they have very little choice but to submit themselves to impossible conditions.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
slums;Slums;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
slums_desc;The influx of people from rural areas to the cities has led to a burgeoning growth in the urban poor, as well as the rapid expansion of poor areas which have come to be known as 'slums'. These are areas plagued by crime and avoided by the wealthy, and ultimately have placed a cap on just how quickly these cities can grow before they become impossible to manage.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
deep_mines;Deep Mines;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
deep_mines_desc;The development of new mining techniques, most involving mechanical equipment,has led to the development of mines able to go deeper into the earth than ever before. Labour conditions in these mines are harsh, and accidents not uncommon.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
smog;Smog;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
smog_desc;The rapid spread of industry and coal-burning fuels has led to the presence of 'smog' in many cities, a combination of smoke and fog which leads to unsanitary urban conditions and many health complications.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
clausewitzian_theory;Clausewitzian Theory;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
clausewitzian_theory_desc;Carl von Clausewitz was a Prussian soldier and German military theorist who stressed the moral and political aspects of war. He espoused a romantic or Hegelian conception of warfare, stressing the dialectic of how opposite factors interact, and noting how unexpected new developments unfolding under the fog of war called for rapid decisions by alert commanders. Clausewitz saw history as a complex check on abstractions that did not accord with experience.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
jominian_attitude;Jominian Attitude;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
jominian_attitude_desc;Antoine-Henri Jomini was a general in the French and later Russian service, and one of the most celebrated writers on the Napoleonic art of war. He took the view that the amount of force deployed should be kept to the minimum in order to lower casualties and that war was a science, not an art. While in Russian service, Jomini tried hard to promote a more scientific approach at the general staff academy he helped found.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
turbine_driven_trawlers;Turbine Driven Trawlers;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
turbine_driven_trawlers_desc;With new turbines added to trawlers across the country, who needs actual fishermen?;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
Power_transformer;Power Transformer;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
Power_transformer_desc;The transformer, and Tesla's polyphase and single-phase induction motors, were essential for a combined AC distribution system for both lighting and machinery. Ownership of the rights to the Tesla patents was a key advantage to the Westinghouse Company in offering a complete alternating current power system for both lighting and power.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
ship_cannon_building_desc;Methods of constructing large-scale artillery which can be mounted on warships has improved greatly, allowing us the ability to improve the firepower capability across our entire navy.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
declaration_of_the_rights_of_man;Declaration of the Rights of Man;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
declaration_of_the_rights_of_man_desc;The Declaration of the Rights of Man and of the Citizen, a fundamental document of the French Revolution, defined the individual and collective rights of all the estates of the realm as universal.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
caste_privileges;Caste Privilege;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
caste_privileges_desc;An early goal of British Imperialists in India was to create a class of local elites in their own image. They were successful, forming a new caste of wealthy Indians who rose to prominence within the colony.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
sati_abolished;Abolishment of Sati;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
sati_abolished_desc;The abolishment of Sati funeral practices, where a recent widow immolated herself on her husband's grave, was incredibly unpopular in some parts of India.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
pig_fat_cartridges;Pig Fat Cartridges;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
pig_fat_cartridges_desc;The issuing of gunpowder cartridges which were believed to be greased with pig fat was considered an incredible insult by Sepoy soldiers, and further evidence of the growing cultural rift between Indians and colonial powers.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
irish_potato_blight;Potato Blight;Le mildiou de la pomme de terre;Kartoffelfäule;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,
irish_potato_blight_desc;Famine spreads as crops lie, dead and rotting, in our fields.;La famine s'étend tandis que les cultures pourrissent dans nos champs.;Hunger breitet sich aus, weil die Ernte tot und verfaulend auf unseren Feldern liegt.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
irish_republicans;Irish Republicans;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
irish_republicans_desc;Down with the monarchy! An Irish Free State is the only solution!;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
irish_unionists;Irish Unionists;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
irish_unionists_desc;Ireland is a part of the United Kingdom, now and forever more! We will not turn our back on the monarchy!;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
adam_smith;Adam Smith;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
adam_smith_desc;Adam Smith was a Scottish Enlightenment philosopher of political economy. He was author of The Theory of Moral Sentiments and An Inquiry into the Nature and Causes of the Wealth of Nations. Smith promoted the central tenement of Capitalism as the individual pursuing his own self-interest, and in so doing, promoting the greater good. He talked about the 'invisible hand' that would guide the actions of individuals and argued against government interference in all but a aspects of the economy.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
jean_baptiste_say;Jean-Baptiste Say;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
jean_baptiste_say_desc;Jean-Baptiste Say was a French scholar active in the field of political economy. A contemporary of Adam Smith, he also advocated economic competition and freedom of trade. He wrote the Traité d'économie politique ou simple exposition de la manière dont se forment, se distribuent et se composent les richesses, originally published in 1803. Say's Law of Markets was derived thus from his treatise, 'Inherent in supply is the wherewithal for its own consumption.';;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
david_ricardo;David Ricardo;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
david_ricardo_desc;David Ricardo was an English political economist who followed the theories of Adam Smith. He wrote his most important work in 1817, titled Principles of Political Economy and Taxation. A great promoter of free trade, his major contribution to classical economics was his Law of Comparative Advantage, where he argued that mutual advantage in trade was always possible if each country concentrated on its resource advantages.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
alexander_bain;Alexander Bain;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
alexander_bain_desc;An associate of J.S. Mill, Alexander Bain added connections from physiology to associationist psychology, adding the laws of compound and constructive association to those of contiguity, similarity, and frequency. He was known for writing two of the earliest textbooks in psychology in 1855 and 1859, which were used by later experimental psychologists such as William James. His Spencer-Bain principle concerning probability of behavior recalls the later Behaviorist school in its conclusions.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
thomas_brown;Thomas Brown;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
thomas_brown_desc;Thomas Brown was an associationist of the Scottish School, he added a secondary set of laws to complete the associationist philosophy. He built upon earlier work by broadening associationism to consider it as an active process of an active mind. This active process considered the effects of other associations, temperament and state of mind of the individual, the state of health of the body, as well as the circumstances of the moment.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
francis_galton;Francis Galton;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
francis_galton_desc;Sir Francis Galton was a British aristocrat who wrote extensively on the measurement of an individual's mental abilities using sensory and motor tests. His 1869 work 'Hereditary Genius:  An Inquiry into its Laws and Consequences' argued that the children of geniuses tended to become geniuses themselves. He surveyed thousands of fellow academics, publishing in 1874 his findings that intelligence was primarily a heritable trait, although there was some necessity for environmental nurturance of that trait. He was the first to use identical and fraternal twins to measure the effects of nature versus nurture, and established in 1888 the theoretical basis for correlation, scatterplots, and regression as measurement tools.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
alfred_binet;Alfred Binet;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
alfred_binet_desc;Alfred Binet was a French psychologist who pioneered the use of standardized testing to measure individual differences in intelligence. The French government commissioned Binet and his student Theodore Simon to develop a test in 1899 to differentiate 'retarded' from 'normal' children. The Simon-Binet test divided intelligence into several areas and measured each with a battery of questions. Questions considered to measure higher ability were those answered more often by students whom their teachers had rated highly. Binet also believed that intelligences were inherited, but improvable by education. His test assigned a single 'mental-level' score to each subject based on their test results.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
charles_spearman;Charles Spearman;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
charles_spearman_desc;Charles Spearman was a British psychologist and mathematician. Spearman criticized Galton's tests as being too simple to measure intelligence. He preferred Binet's test, but criticized the use of a universal number to characterize different areas of intelligence. He developed the process of factor analysis, measuring correlations between performance in different test areas. He proposed two underlying factors 'g' for general intelligence to explain the correlations and 's' for specific abilities to explain the imperfections in his correlations. His 'g'factor was not a concrete number, but he too believed in the heritability of intelligence.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
eugenics;Eugenics;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
eugenics_desc;An outgrowth from Darwinistic ideas on natural selection and trait theories and from the studies in intelligence measurement, Eugenics was concerned with the mental and physical traits found in society and a response to the weaknesses found. Positive eugenics encouraged family programs, social welfare, and the importance of education in the desirability of breeding to increase the appearance of positive traits. Negative eugenics argued for the need to remove weak traits by removing undesirable elements, leading to sterilization and even extermination of target groups.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
wilhelm_wundt;Wilhelm Wundt;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
wilhelm_wundt_desc;Wilhelm Wundt was a German physiologist who opened the first university-based psychological laborator in Leipzig in 1879. Wundt published the first textbook to identify psychology as a science. His 'two reaction-time' tasks demonstrated that complex sequences are the combination of more elementary processes. This was the foundation of Cognitive Psychology.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
edward_titchener;Edward Titchener;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
edward_titchener_desc;Edward Titchener was an English psychologist who studied under Wundt at Leipzig. Titchener headed the psychology department at Cornell University and founded the Structuralist school, which relied heavily on introspection to perform analysis on the structure of the mind. His attempts to break down experiences into four basic elements was discredited because it was possible for different subjects to identify different elements from the same experiences.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
william_james;William James;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
william_james_desc;William James was an American psychologist and philosopher at Harvard University. James emphasized the the study of the purposes and functions of the mind, rather than its structure. James is considered the founder of the Functionalist school. He used experiments and introspection, but disclaimed introspection as scientific proof.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
gs_hall;G. Stanley Hall;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
gs_hall_desc;G. Stanley Hall was the first President of the American Psychological Association. Hall founded the American Journal of Psychology in 1887. His research focused on educational psychology and adolescence. He adapted the term 'Storm and Stress' to characterize the period of adolescence. Hall believed in the heritability of behavior and supported the Eugenics program. His views on child development were later largely refuted by Piaget and Vygotsky.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
hermann_ebbinghaus;Hermann Ebbinghaus;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
hermann_ebbinghaus_desc;Hermann Ebbinghaus was a German psychologist who pioneered studies in memory. Ebbinghaus used himself as subject in thousands of repetitions of his 'nonsense syllables.' Among his contributions to the field were the learning curve, the forgetting curve, and the serial position effect, which demonstrated that individuals remember the most recent information first presented. He documented 'savings': information relearned a second time is memorized faster.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
mary_calkins;Mary Calkins;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
mary_calkins_desc;Mary Calkins was an American teacher who became the first female President of the American Psychological Association. A student of James' in 1890, Calkins completed the requirements for a PhD at Harvard only to be refused. She went on to a distinguished tenure at Wellesley College, writing about the psychology of the self: 'a totality, a one of many characters... a unique being in the sense that I am I and you are you'....;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
alfred_adler;Alfred Adler;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
alfred_adler_desc;Alfred Adler was an Austrian doctor and psychtherapist. Adler diverged from Freud in arguing that unconscious motivation could be better explained by teleological goals rather than instinctual drives. According to Adler, people are born with a feeling of Inferiority. People attempt to overcome these feelings of inferiority. Adler posited one of three outcomes. An 'inferiority complex' develops in people who are overwhelmed by these feelings. Some of these will develop a superiority complex to mask their true feelings. Psychologically healthy people manifest the concept of self-esteem and satsify their goals through a sense of personal achievement.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
anna_freud;Anna Freud;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
anna_freud_desc;The daughter of Sigmund Freud, Anna began her psychoanalytic practice in 1923. She served as secretary of the International Psychoanalytical Association between 1925 and 1934. Freud became known for her work on the social importance of the ego in childhood development. She wrote 'Ego and the Mechanisms of Defense' (1936) in which she further developed the concept of defense mechanisms such as repression, displacement, reaction formation and rationalization. These are mental processes to reduce consciousness of wishes, memories and thoughts that prove threatening to self-esteem and security of the individual.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
karen_horney;Karen Horney;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
karen_horney_desc;Karen Horney was a German psychoanalyst. She came to criticize Freud's emphasis on sex and aggressive as motivating drives. Horney (1937) focused on security instead as the central, inborn human need. In her view, child development was contingent upon parental fulfillment of the child's 'basic anxiety' emotion. Success would result in a trusting individual, while failure would result in insecurity. Insecurity and distrust manifests itself in personality as either avoidance, submission or dominance.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ivan_pavlov;Ivan Pavlov;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ivan_pavlov_desc;Ivan Pavlov was a Russian physiologist and winner of the Nobel Prize for his work on reflexes in digestion. In the course of studies with dogs and salivation, Pavlov observed that the dogs elicited a certain type of salivation with certain signals that preceeded the arrival of food. In his 1927 study, Pavlov laid out the basic principles of classical conditioning in Behaviorism. The food was the unconditioned stimulus for salivation. The signal became associated with salivation as a conditioned stimulus, with salivation to the sound of the signal alone becoming the new conditioned response. Extinction, recovery, generalization and discrimination were identified in subsequent studies.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
el_thorndike;Edward L. Thorndike;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
el_thorndike_desc;Edward Lee Thorndike was an American researcher who also conducted experiments in animal learning. He was known for his puzzle-box procedure (1898), in which a hungry cat was placed inside a small cage and observed to see how long it took the cat to learn to pull the lever and escape, where food was waiting. He observed that after 20-30 trials, the cats had become efficient at escaping almost instantaneously. Thorndike formulated the law of effect, stating that responses producing a positive effect became more likely to occur again, and those producing discomfort were less likely to occur again. These observations were later transformed by B.F. Skinner into the concept of operant conditioning in psychology.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
jb_watson;John B. Watson;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
jb_watson_desc;John Broadus Watson was an American psychologist who studied Pavlovian conditioning in humans. Watson's most famous experiment involved conditioning an 11-year old child named Albert to associate a conditioned stimulus (fear of rats) to an unconditioned stimulus (fear of a loud hammering sound). Watson's research later led to clinical treatments extinguishing irrational fears in people. After being dismissed from Harvard over an affair and marriage with a graduate student, Watson brought his research experience to a prominent advertising firm. Modern advertising owed much to behaviorist psychology and conditioning concepts.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
ec_tolman;Edward C. Tolman;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
ec_tolman_desc;Edward C. Tolman was another prominent American psychologist in the field of Behaviorism. Tolman performed maze experiments to demonstrate latent learning in animals. He showed that a rat could run the maze on the first try, if it was previously allowed to explore the maze while not hungry. Tolman evinced that the subject learned useful stimulus information about the world without reference to a reinforcing stimulus (the food). The ability to run the maze correctly on trial one demonstrated flexibility in the use of the learned information. Tolman's stimulus-stimulus (S-S) learning was opposed by the stimulus-response (S-R) orthodoxy of Skinner.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
populism;Populism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
populism_desc;Populism, defined either as an ideology, or (more uncommonly) a political philosophy, or a type of sociopolitical thought that compares 'the people' against 'the elite', and urges social and political system changes.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
establishment;The Establishment;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
establishment_desc;The Establishment is a term used to refer to a visible dominant group or elite which holds power or authority in a nation. The term suggests a closed social group which selects its own members (as opposed to selection by inheritance, merit or election).;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
clericalism;Clericalism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
clericalism_desc;Clericalism is the application of the formal, church-based, leadership or opinion of ordained clergy in matters of either the church or broader political and sociocultural import.;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;
anticlericalism;Anti-Clericalism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
anticlericalism_desc;Anti-clericalism is a historical movement that opposes religious institutional power and influence, real or alleged, in all aspects of public and political life, and the involvement of religion in the everyday life of the citizen. It suggests a more active and partisan role than mere laïcité, and has at times been violent, leading to attacks and seizure of church property.;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;
bureaucracy;Bureaucracy;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
bureaucracy_desc;The purpose of a bureaucracy is to successfully implement the actions of an organization of any size (but often associated with large entities such as government, corporations, and non-governmental organizations), in achieving its purpose and mission, and the bureaucracy is tasked to determine how it can achieve its purpose and mission with the greatest possible efficiency and at the least cost of any resources.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
nepotism;Nepotism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
nepotism_desc;Nepotism is favoritism granted to relatives or friends regardless of merit. It is a common accusation in politics when the relative of a powerful figure ascends to similar power seemingly without appropriate qualifications.;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
aristocracy;Aristocracy;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
aristocracy_desc;Aristocracy is a form of government in which the best qualified citizens rule. The concept evolved in Ancient Greece, whereby a council of famous citizens was commonly used and contrasted with 'direct monarchy' in which an individual king held the power.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
meritocracy;Meritocracy;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
meritocracy_desc;Meritocracy is a system of government or other administration (such as business administration) wherein appointments are made and responsibilities assigned to individuals based upon their 'merits', namely intelligence, credentials, and education, determined through evaluations or examinations.;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
cinematographic_propaganda;Cinematographic Propaganda;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
cinematographic_propaganda_desc;The advent of cinema has allowed the rapid spread of 'propaganda films', allowing a government the ability to sway large groups of people with messages conveyed through film.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
standard_flintlock_rifle_armament;Standard Flintlock Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
standard_flintlock_rifle_armament_desc;It takes a great deal of time for upgrades to existing firearms to become standard throughout a nation's armed forces, but by this time flintlock rifles are in use by our entire army.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
initial_muzzle_loaded_rifle_armament;Initial Muzzle-Loaded Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
initial_muzzle_loaded_rifle_armament_desc;The use of muzzle-loaded rifles has begun to spread within our armed forces, upgrading their existing firepower significantly. It has not yet, however, become standard.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
standard_muzzle_loaded_rifle_armament;Standard Muzzle-Loaded Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
standard_muzzle_loaded_rifle_armament_desc;It takes a great deal of time for upgrades to existing firearms to become standard throughout a nation's armed forces, but by this time muzzle-loaded rifles are in use by our entire army.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
initial_breech_loaded_rifle_armament;Initial Breech-Loaded Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
initial_breech_loaded_rifle_armament_desc;The use of breech-loaded rifles has begun to spread within our armed forces, upgrading their existing firepower significantly. It has not yet, however, become standard.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
standard_breech_loaded_rifle_armament;Standard Breech-Loaded Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
standard_breech_loaded_rifle_armament_desc;It takes a great deal of time for upgrades to existing firearms to become standard throughout a nation's armed forces, but by this time breech-loaded rifles are in use by our entire army.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
initial_bolt_action_rifle_armament;Initial Bolt-Action Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
initial_bolt_action_rifle_armament_desc;The use of bolt-action rifles has begun to spread within our armed forces, upgrading their existing firepower significantly. It has not yet, however, become standard.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
standard_bolt_action_rifle_armament;Standard Bolt-Action Rifle Armament;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
standard_bolt_action_rifle_armament_desc;It takes a great deal of time for upgrades to existing firearms to become standard throughout a nation's armed forces, but by this time bolt-action rifles are in use by our entire army.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
machine_gun_deployment;Machine Gun Deployment;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
machine_gun_deployment_desc;Machine guns have been successfully deployed throughout our armed forces, upgrading their existing firepower significantly.;;;;;;;;;;;;x,,,,,,;;;;;;;;;;;;;;;;
carlism;Carlism;;;;;;;;;;;;x,,,,,,,;;;;;;;;;;;;;;;;
