;;;;;;;;;;;;;x
form_greater_netherlands_desc;For too long have foreign powers and cultures influenced our nations and its internal politicals. The most disasterous result of this was the Belgian 'revolution'. The British and French funded rebellion of 1830 was nothing more than a ruse to dismantle our position in the world and  now that our former lands are within our infuence we can make sure that this never happens again. Integrating the Dutch speaking Flemish and excluding the Walloons is the best way to prevent this discord arising again.;;;;;;;;;x
ainu_lands_title;Formally Settling the Islands;;;;;;;;;x
ainu_lands_desc;Now that we have been recognized as a civilized nation we can officially settle the islands to our north without the threat of Japanese intervention ;;;;;;;;;x
claim_interior_title;Claiming the Interior;;;;;;;;;x
claim_interior_desc;Now that we have gained independance from Britain, we can now assert our control over the outback.;;;;;;;;;x
reform_hansa_title;Reforming the Hansa;;;;;;;;;x
reform_hansa_desc;The Hanseatic League used to be a major economic, political and military player in Northern Europe, protecting and pressing the interests of its member cities and through its wealth, maintaining many privileges for its citizens. Although the Hansa had lost members and power to the point of absolute irrelevance by the time of the last official Hansetag in 1669, Lubeck, Hamburg and Bremen remain de facto members to this day. Citing our political renaissance, we can now propose the creation of a new Hansa.;;;;;;;;;x
the_golden_circle_title;Claim the Golden Circle;;;;;;;;;;;;;x
the_golden_circle_desc;In accord with the plans of the influential Knights of the Golden Circle, we should draw Confederate interests southward, away from the foolish ideals of Manifest Destiny. The colonies of the New World where Europeans first set foot will be ours!;;;;;;;;;;;;;x
atlantic_slave_trade_title;Reinstate the Atlantic Slave Trade;;;;;;;;;;;;;x
atlantic_slave_trade_desc;$COUNTRY_ADJ$ strength is now enough to challenge the Great Powers of Europe, and now they can do little to stop our right to trade with the African continent. They denied our right, but now we can overturn the laws that banished the slave trade, and allow our country to flourish like never before.;;;;;;;;;;;;;x
annex_cuba_title;Annex Cuba;;;;;;;;;;;;;x
annex_cuba_desc;Cuban independence is in our best interests, as it allows us to control the heart of the Golden Circle: Havana. The people may not approve, but we must take control of Cuba for the glory of the Confederate States!;;;;;;;;;;;;;x
annex_puerto_rico_title;Annex Puerto Rico;;;;;;;;;;;;;x
annex_puerto_rico_desc;Just as some of the Southern states were under the power of the Spanish crown, so too was Puerto Rico. We have convinced them that this draws our countries together, and now they wish to be a part of our nation.;;;;;;;;;;;;;x
annex_haiti_title;Annex Haiti;;;;;;;;;;;;;x
annex_haiti_desc;Not so long ago, the island of Haiti was a French slave state. The people there are wary of our might, but they cannot deny the Confederate influence that affects them in everything they do. They do not understand how joining us would be favourable to them, but they are blind. We will claim what is ours, and make the Haitians know their place.;;;;;;;;;;;;;x
enlist_coloured_troops_title;Enlist Slaves as the Coloured Troops;;;;;;;;;;;;;x
enlist_coloured_troops_desc;War is burning our nation, and soon the people will force us to surrender. We say nay! It may go against our core beliefs, but to win this conflict we must allow slaves to be freed, so long as they willingly enlist as soldiers. This may be a heavy price, but it is a price that we have to pay in these dark times.;;;;;;;;;;;;;x
cuba_pri_purchase_title;Purchase Cuba and Puerto Rico;;;;;;;;;;;;;x
cuba_pri_purchase_desc;Spain, once the greatest colonial power in the world, is now barely second-rate, and has fallen into our sphere of influence. Now we can make a deal with them to alleviate their overseas burdens, and purchase Cuba and Puerto Rico from them for a princely sum.;;;;;;;;;;;;;x
move_capital_to_havana_title;Move the Capital to Havana;;;;;;;;;;;;;x
move_capital_to_havana_desc;The great goal of the Knights of the Golden Circle is nearly accomplished. By moving our capital to Havana, on the island of Cuba, we will once and for all assert our dominance over the Caribbean seas. For Dixie, and the Golden Circle!;;;;;;;;;;;;;x
burn_the_white_house_title;Burn the White House;;;;;;;;;;;;;x
burn_the_white_house_desc;A symbol of American power and prestige, this building has no meaning to us. However, desecrating this symbol will make the American people less willing to go on, and it will certainly be a blow to the international prestige of the United States.;;;;;;;;;;;;;x
sell_france_haiti_title;Sell Haiti to France;;;;;;;;;;;;;x
sell_france_haiti_desc;The French still wish for a real foothold in the New World, and prior to the beginning of the 19th century, their foothold was Haiti. Now with this island under our control, should we relinquish it in order to better our relations with France, and allow them to regain some old glory?;;;;;;;;;;;;;x
join_slave_trade_title;Join the Atlantic Slave Trade;;;;;;;;;;;;;x
join_slave_trade_desc;Now that the Atlantic Slave Trade has been established once more, we have the opportuniy to join it and reap the infamous profits of an age-old institution. Though it will anger the Great Powers, perhaps it shall lead to an alliance between these Atlantic slave states?;;;;;;;;;;;;;x
leave_slave_trade_title;Leave the Atlantic Slave Trade;;;;;;;;;;;;;x
leave_slave_trade_desc;Though at once it seemed like a good and profitable idea, the Atlantic Slave Trade has only brought us ruin and infamy. It is time to end our participation in this damned trade.;;;;;;;;;;;;;x
end_slave_trade_title;Dismantle the Atlantic Slave Trade;;;;;;;;;;;;;x
end_slave_trade_desc;The trading of slaves must stop. We once profited from the Atlantic Slave Trade, just as the nations of Europe did in their golden ages centuries ago, but the slave trade is not an institution for the modern age. We must bring an end to it once again, burying it in the pages of history.;;;;;;;;;;;;;x
italian_government_title;Italian rulership;;;;;;;;;;;;;x
italian_government_desc;Now that we've been freed from Austrian rule it is time to set up a proper governing force, with the major cities in the region being ruled by an Italian majority, it is only natural for us to let them take control.;;;;;;;;;;;;;x
release_moldovia_russia_title;Release Moldivia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
release_moldovia_russia_desc;With our holdings in Moldovia cut off from the rest of Russia, it only makes sense that we give the locals more autonomy. Let the Moldivians raise their own armies-- so long as they do so in the service of the Russians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_baluchi_minority_title;Embrace the Baluchi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
PNJ_embrace_baluchi_minority_desc;The Sikh Empire is a secular, tolerant state. We shall embrace the Baluchi lands under our dominion, and together forge a nation even stronger than before.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
boer_government_title;The Boer Majority;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
boer_government_desc;The Boers currently outnumber the British settlers in South Africa, our best course of action would be to accept their majority rule if we're to have any chance in this hostile scrap of land.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
claim_NZ_interior_title;Claiming the Interior;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_NZ_interior_desc;Now that we have gained independance from Britain, we can now assert our control over our islands.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_picard_title;Integrating the Picard;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
integrate_picard_desc;Now that the Picard people are under our control we should integrate them into our nation and extend them full rights.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_golden_circle_USCA_title;Integrate the FRCA;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_golden_circle_USCA_desc;In accord with the plans of the influential Knights of the Golden Circle, we should draw Confederate interests towards the FRCA, integrating them would be a great step forward for the CSA.;;;;;;;;;;;;;x
revengance_title;Vengeance;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
revengance_desc;Now that we've regained control of the Haitian colony, we should show our new subjects how we respond to the slaughter of whites.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_roman_empire_title;Reforming the Roman Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_roman_empire_desc;With Rome and the Pope under our heel it's time to reform the Roman Empire, if the Germans could do it, why can't we?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
revoke_roman_empire_title;Restoring Byzantium;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
revoke_roman_empire_desc;Rome is lost to us, at this point we have no longer have a legitimate claim on the title of Rome, we should move our empire back to the east.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_walloon_people_title;Integrating the Walloonian Minority;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_walloon_people_desc;The Walloonians are restless and desire a say in government, at this point we have little choice but to let them have their way if we want to keep them under our control.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
assyrian_empire_title;Assyrian Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
assyrian_empire_desc;The Assyrians have regained our power, now we will show the world what true fear means once again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_our_brothers_title;Accepting Our Brethren;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
accepting_our_brothers_desc;Since we've gained control of our Estonian brothers and many former Russian provinces with Karelian minorities, we should adjust our policies to be more inclusive towards them to help unite us against a renewed attempt by the Russians to conquer us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_finland_title;Greater Finland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_finland_desc;Having gained our freedom from the Russians and international recognition as an important power, we need to extend ourselves to our natural borders, both for defence and to include more Finns in the region.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
