# Please keep tags sorted alphabetically when you add/remove country tags #

### Special "Countries"... ###

	#CIV		= "countries/Civilized nation.txt"
	REB		= "countries/rebels.txt"
		CLA		= "countries/Calabar.txt"
		DAH		= "countries/Dahomey.txt"
		DAM		= "countries/Damagaram.txt"
		DND		= "countries/Dendi.txt"
		GBU		= "countries/Gabu.txt"
		GHN		= "countries/Ghana.txt"
		GMB		= "countries/Gambia.txt"
		GNE		= "countries/Guinea.txt"
		IVC		= "countries/Ivory Coast.txt"
		JAL		= "countries/Jallon.txt"
		KBO		= "countries/Kanem-Bornu.txt"
		KNG		= "countries/Kong.txt"
		LIB		= "countries/Liberia.txt"
		MAS		= "countries/Massina.txt"
		MLI		= "countries/Mali.txt"
		MOS		= "countries/Mossi.txt"
		NGR		= "countries/Nigeria.txt"
		NIG		= "countries/Niger.txt"
		OYO		= "countries/Oyo.txt"
		SEG		= "countries/Segu.txt"
		SLE		= "countries/Sierra Leone.txt"
		SNG		= "countries/Senegal.txt"
		SOK		= "countries/Sokoto.txt"
		TOG		= "countries/Togo.txt"
		TOO		= "countries/Tooro.txt"
		TOU		= "countries/Toucouleur.txt"
		WOL		= "countries/Wolof.txt"
		WRI		= "countries/Warri.txt"

### North America ###

	## Caribbean ##
		ATC		= "countries/Antillean Confederation.txt"
		BHM		= "countries/Bahamas.txt"
		BMD		= "countries/Bermuda.txt"
		BRB		= "countries/Barbados.txt"
		CRB		= "countries/Caribbean Federation.txt"
		CUB		= "countries/Cuba.txt"
		DOM		= "countries/Dominican Republic.txt"
		GDL		= "countries/Guadeloupe.txt"
		HAI		= "countries/Haiti.txt"
		JAM		= "countries/Jamaica.txt"
		KRO		= "countries/Kronprinzinsel.txt"
		MTQ		= "countries/Martinique.txt"
		NAN		= "countries/Curacao.txt"
		PRI		= "countries/Puerto Rico.txt"
		TTB		= "countries/Trinidad.txt"
		WIN		= "countries/West Indies.txt"

	## Central America ##
		BLZ		= "countries/Belize.txt"
		COS		= "countries/Costa Rica.txt"
		ELS		= "countries/El Salvador.txt"
		FIL		= "countries/Filibuster State.txt"
		GUA		= "countries/Guatemala.txt"
		HON		= "countries/Honduras.txt"
		LOS		= "countries/Los Altos.txt"
		MSK		= "countries/Mosquito Coast.txt"
		NIC		= "countries/Nicaragua.txt"
		PNM		= "countries/Panama.txt"
		UCA		= "countries/United States of Central America.txt"

	## Northern America ##
		ACA		= "countries/Acadia.txt" #Should probably be merged with the Maretimes
		ADV		= "countries/Adelsverein.txt"
		CAL		= "countries/Californian Republic.txt"
		CAN		= "countries/Canada.txt"
		CAS		= "countries/Cascadia.txt"
		CHE		= "countries/Cherokee.txt"
		CHP		= "countries/Chiapas.txt"
		CMC		= "countries/Comancheria.txt"
		COL		= "countries/Columbia.txt"
		CSA		= "countries/CSA.txt"
		DAK		= "countries/Dakota.txt"
		DES		= "countries/Deseret.txt"
		FCA		= "countries/French Canada.txt"
		FSA		= "countries/Free States of America.txt"
		GRN		= "countries/Greenland.txt"
		JLS		= "countries/Jalisco.txt"
		LSK		= "countries/Alaska.txt"
		MEX		= "countries/Mexico.txt"
		MRU		= "countries/Maritime Union.txt"
		MSC		= "countries/Muscogee.txt"
		MTC		= "countries/Metis Confederacy.txt"
		MYA		= "countries/Maya.txt"
		NAF		= "countries/NAF.txt"
		NBR		= "countries/New Brunswick.txt"
		NEN		= "countries/New England.txt"
		NEW		= "countries/Newfoundland.txt"
		NSC		= "countries/Nova Scotia.txt"
		OAX		= "countries/Oaxaca.txt"
		PEI		= "countries/Prince Edward Island.txt"
		QCI		= "countries/Queen Charlotte Islands.txt"
		QUE		= "countries/Quebec.txt"
		RGR		= "countries/Rio Grande.txt"
		RPL		= "countries/Rupert's Land.txt"
		SON		= "countries/Sonora.txt"
		STK		= "countries/Stickeen.txt"
		TBS		= "countries/Tabasco.txt"
		TEX		= "countries/Texas.txt"
		UIL		= "countries/Illinois.txt"
		UKY		= "countries/Kentucky.txt"
		ULA		= "countries/Louisiana.txt"
		UNB		= "countries/Nebraska.txt"
		UNM		= "countries/New Mexico.txt"
		UNY		= "countries/New York.txt"
		UOR		= "countries/Oregon.txt"
		USA		= "countries/USA.txt"
		UVT		= "countries/Vermont.txt"
		VAN		= "countries/Vancouver Island.txt"
		#VNS		= "countries/Colonial Spain.txt"
		YUC		= "countries/Yucatan.txt"
		ZAC		= "countries/Zacatecas.txt"

### South America ###
	ACE		= "countries/Acre.txt"
	ARC		= "countries/Argentine Conf.txt"
	ARG		= "countries/Argentina.txt"
	BOL		= "countries/Bolivia.txt"
	CGC		= "countries/Colonial Chile.txt"
	CHL		= "countries/Chile.txt"
	CLM		= "countries/Colombia.txt"
	CRT		= "countries/Corrientes.txt"
	ECU		= "countries/Ecuador.txt"
	ENT		= "countries/Entre Rios.txt"
	GCO		= "countries/Gran Colombia.txt"
	GUY		= "countries/Guyana.txt"
	LPL		= "countries/La Plata.txt"
	PBC		= "countries/Peru-Bolivia Confederation.txt"
	PEU		= "countries/Peru.txt"
	PRG		= "countries/Paraguay.txt"
	PTG		= "countries/Patagonia.txt"
	SBA		= "countries/Buenos Aires.txt"
	SPU		= "countries/South Peru.txt"
	URU		= "countries/Uruguay.txt"
	USS		= "countries/United States of South America.txt"
	#VLP		= "countries/Colonial La Plata.txt"
	#VNG		= "countries/Colonial Colombia.txt"
	VNZ		= "countries/Venezuela.txt"
	#VOP		= "countries/Colonial Peru.txt"

### Brazil ###
	BRZ		= "countries/Brazil.txt"
	#BRC		= "countries/BrazilClaims.txt"
	BAH		= "countries/Bahia.txt"
	RGS		= "countries/Rio Grande do Sul.txt"
	PNB		= "countries/Pernambuco.txt"
	RJL		= "countries/Republica Juliana.txt"
	MGS		= "countries/Minas Gerais.txt"
	GPR		= "countries/Grao Para.txt"
	MAR		= "countries/Maranhao.txt"
	RIO		= "countries/Rio de Janeiro.txt"
	SPL		= "countries/Sao Paulo.txt"
	MTG		= "countries/Mato Grosso.txt"
	CFB		= "countries/Confederacao Brasilica.txt"
	CEQ 	= "countries/Confederacao do Equador.txt"

### Australia & New Zealand ###
	AOT		= "countries/Aotearoa.txt"
	AST		= "countries/Australia.txt"
	FAS		= "countries/French Australia.txt"
	NZF		= "countries/French New Zealand.txt"
	NZL		= "countries/New Zealand.txt"
	PPG		= "countries/Papua New Guinea.txt"
	SNZ		= "countries/South Island.txt"

### Oceania ###
	FIJ		= "countries/Fiji.txt"
	HAW		= "countries/Hawaii.txt"
	SMO		= "countries/Samoa.txt"
	TAH		= "countries/Tahiti.txt"
	TGA		= "countries/Tonga.txt"
	TMT		= "countries/Tuamotu.txt"
	VTU		= "countries/Vanuatu.txt"

### Company and Treaty Countries ###
	EIC		= "countries/East India Company.txt"
	LEG		= "countries/Legation Cities.txt"
	D01		= "countries/D01.txt"

### HoD Dominions ###
dynamic_tags = yes
D01		= "countries/D01.txt"
D02		= "countries/D02.txt"
D03 	= "countries/D03.txt"
D04 	= "countries/D04.txt"
D05 	= "countries/D05.txt"
D06 	= "countries/D06.txt"
D07 	= "countries/D07.txt"
D08 	= "countries/D08.txt"
D09 	= "countries/D09.txt"
D10 	= "countries/D10.txt"
