eastern_macedonia_exchange;Eastern Macedonia Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Crime;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_politics;Political Machine;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
desc_machine_politics;Political Machines are a party organization, headed by a single boss or small autocratic group, that commands enough votes to maintain political and administrative control of a city, county, or state. It is in essence the bribery of mainly minorities by politicians using their influence. It is common to use the appointment for government jobs as a means of bribery within this system.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
spoil_system;Spoils System;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_spoil_system;The spoils system (also known as a patronage system) is a practice in which a political party, after winning an election, gives government jobs to its supporters, friends and relatives as a reward for working toward victory, and as an incentive to keep working for the party — as opposed to a merit system, where offices are awarded on the basis of some measure of merit, independent of political activity.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
instigators;Political Instigators;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_instigators;If the crime fighting institutions in a province became overstretched, instigators would run amok and eventually gather sufficient attention and support to cause an impact in the established order.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
kleptocrats;Kleptocrats;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
desc_kleptocrats;Kleptocracy is a term applied to a government seen as having a particularly severe and systemic problem with officials or a ruling class (collectively, kleptocrats) taking advantage of corruption to extend their personal wealth and political power. Typically this system involves the embezzlement of state funds at the expense of the wider population, sometimes without even the pretense of honest service. Lacking sufficient control institutions in a country where external oversight is impossible or does not exist can mean that the bureaucrats would become kleptocrats.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
# General Modifiers;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
##################################################;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
international_zone_modifier;International Zone;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
international_zone_modifier_desc;Our country has been declared an international zone, a hub of trade and commerce and a neutral zone for foreign parts to meet.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
international_zone;International Zone;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_training;Ineffective Foreign Training;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_training_desc;We might be able to use this military reform but our disdain for western technology is stopping us from fully using our experiences with it to feed our research.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_schools;Ineffective Naval Schools;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_schools_desc;We might be able to use this military reform but our disdain for western technology is stopping us from fully using our experiences with it to feed our research.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_officers;Ineffective Foreign Officers;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_officers_desc;We might be able to use this military reform but our disdain for western technology is stopping us from fully using our experiences with it to feed our research.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_officers;Ineffective Naval Officers;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
isolationist_foreign_naval_officers_desc;We might be able to use this military reform but our disdain for western technology is stopping us from fully using our experiences with it to feed our research.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
naval_school;Naval School;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
desc_naval_school;The Merchant Marine operates a Naval School in one of our provinces, providing lessons in leadership and education in the latest naval technologies.;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;
historical_congo;Historical Congo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
neuchatel_crisis_escalated;Neuchatel Crisis;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
preparations_for_war;Preparations for War;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
preparations_for_war_desc;There's an incoming war, or so some say.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_company;The Congo Company;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_company_desc;With its residence on the Congo, the company was made to explore the natural resources of the Congo and make sure its riches and the natives benefit us.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_exploitation;Congolese Exploitation;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
congo_exploitation_desc;All blacks saw this man as the devil of the Equator...From all the bodies killed in the field, you had to cut off the hands. He wanted to see the number of hands cut off by each soldier, who had to bring them in baskets...A village which refused to provide rubber would be completely swept clean. As a young man, I saw [Fiévez's] soldier Molili, then guarding the village of Boyeka, take a net, put ten arrested natives in it, attach big stones to the net, and make it tumble into the river...Rubber causes these torments; that's why we no longer want to hear its name spoken. Soldiers made young men kill or rape their own mothers and sisters.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
philantropic_work;Philanthropic Work;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
philantropic_work_desc;We are guiding this nation in the principles of civilizing and helping the natives.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
refused_gp_deliberation;Defied the Great Powers;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
refused_gp_deliberation_desc;We defied the deliberation of the Great Powers. There's a looming threat of war to enforce the decisions made in the Congress, but if we can hold out for enough time they may be forced to recognize that we are right.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
mandate_of_heaven;Mandate of Heaven;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
mandate_of_heaven_desc;By Divine Right, the Emperor is ruler of all under Heaven.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
the_congo_reform_association;The Congo Reform Association;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
the_congo_reform_association_desc;An international humanitarian organization is casting a less than favorable light on our colonial policies in the Congo.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
indian_territory;Indian Territory;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indian_territory_desc;The Indian Territory is a land area set aside by the United States Government for the relocation of the indigenous peoples of the Americas who held aboriginal title to their land.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reconstruction;Reconstruction Policies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reconstruction_desc;After the Civil War, our torn nation needs to be rebuilt. With policies such as the  theTen-Percent Plan, a plan that stipulates that each secessionist state had to redraft its constitution and could reenter the Union only after 10 percent of its eligible voters pledged an oath of allegiance to the United States and other reconstruction plans, the USA can recover from the effects of this devastating war.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
cultural_resurgence;Cultural Resurgence;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
cultural_resurgence_desc;This province is experiencing a complete resurgence of an old culture.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
chinese_treaty_port;Chinese Treaty Port;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
chinese_treaty_port_desc;We negotiated a treaty with the Chinese and acquired the rights over a Chinese port and city.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_unequal_treaty;Unequal Treaty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_unequal_treaty_desc;We have lost a war and like vultures, the westerners descended upon us imposing their conditions including the opening of our country, monetary reparations and even the secession of territory.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_treaty;Negotiating Treaty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
negotiating_treaty_desc;Our diplomats are negotiating a treaty with a defeated nation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lacks_writing_system;Lacks Writing System;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
lacks_writing_system_desc;Our society lacks a writing system. Without this the written word, the organizational structures of the government will always be simple.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
penal_colony;Penal Colony;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
penal_colony_desc;This province is home to a sizeable penal colony. Most of the poor strata are convicts or former convicts, leading to widespread poverty.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
divided_society;Divided Society;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
divided_society_desc;Our society is deeply divided by racial issues. There's distrust and resentment all around and because of that integration is severely affected.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
caudillo_leaders;Caudillo;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
caudillo_leaders_desc;A caudillo is a type of militia leader with a charismatic personality and enough of a populist program of generic future reforms to gain broad sympathy, at least at the outset, among the common people. Effective caudillismo depends on a personality cult. Since the caudillo typically held power by controlling a patronage network that brooked no rival structure, some caudillos took up an anti-clerical stand. Many of the caudillos used their newly gained power, which was unchecked because it was extra-constitutional, to promote their own wealth and interests.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
corrupt_army;Corrupt Officials;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
corrupt_army_desc;After one defeat, one of our generals blamed the failure on enemy magic, which prompted an angry response from the ruler. It's evident that the organization and logistics of our army are inadequate, officer training is deficient, and corruption is widespread.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
fanatic_army;Fanatic Loyalty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
fanatic_army_desc;Marked by a high level of discipline and fanaticism, our army is recruiting people from all over our country to fight for our cause. These conscripts firmly believe in our mission and are of an undying loyalty to us.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
irish_poverty;Irish Poverty;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
animists_run;Animist Emigration;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
hormuz_strait;Hormuz Strait;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
the_french_foreign_legion;La Légion Étrangère;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
the_hedeselskab;The Hedeselskab;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
the_hedeselskab_desc;The foundation of the Danish Moor Company lead to the drainage and improvement of vast areas.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
emigration_boom;Emigration Boom;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
emigration_boom_desc;Changing life conditions in our country are stimulating a big relocation of our people.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
gold_rush_country;Gold Rush;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
gold_rush_country_desc;Our country is experiencing a gold rush leading people from all over the old world to flock to our country.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
global_baby_boom;Baby Boom;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
global_baby_boom_desc;Improvements in life conditions in our country are leading to a country-wide baby boom.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
political_education;Ideological Education;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
political_education_desc;Education in our country is full blown ideological indoctrination, and has severe changes every time our leader changes. Universal public education is thus enforced and alphabetization is a priority, but at the cost of free thinking.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
cult_of_personality;Cult of Personality;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
cult_of_personality_desc;A cult of personality arises when an individual uses mass media, propaganda, or other methods, to create an idealized, heroic, and at times, worshipful image, often through unquestioning flattery and praise.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
totalitarian_system;Totalitarianism;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
totalitarian_system_desc;Totalitarianism is a political system in which the state holds total authority over the society and seeks to control all aspects of public and private life wherever possible.;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
the_terror;The Terror;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;
the_terror_desc;To overcome our enemies we must have our own militarism. We must carry along with 90 percent out of the total population of our country. As for the rest, we have nothing to say to them. They must be annihilated.;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;;;;
silver_age;A Silver Age;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
silver_age_desc;Our most excellent leader will take us through a time of trouble to a better tomorrow.;;;;;;;;;;;;;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;
chinese_foreign_training;Foreign Training in China;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
chinese_foreign_weapons;Western Weapons in China;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
chinese_foreign_officers;Foreign Officers in China;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
chinese_foreign_artillery;Western Artillery in China;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
pandemic_influenza_immunity;Influenza Free;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
pandemic_influenza_immunity_desc;A Pandemic of Influenza ravages our country, but this small isolated community is immune to it, thank to its remote location.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
population_resettlement;Population Resettlement;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
population_resettlement_desc;Our nation is working on the national integration of a region by resettling our citizens.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
trade_city;Trade City;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
trade_city_desc;Located in this province is an important trade city, a hub of trade of the region, enjoying much economic prosperity.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
peacetime_mobilization;Peace Time Mobilization;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
peacetime_mobilization_desc;Conscripts are being drafted left and right and our poor are being trained and prepared to fight, yet there's no war. This large disruption in the country's daily life is making our pops tired and our neighbors wary.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
tribute_received;Tribute Received;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
tribute_received_desc;One of our vassals paid their due tribute to us.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
tribute_paid;Tribute Paid;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
tribute_paid_desc;We have to share part of our earnings with our overlord over the time period and as suck we are poorer from that.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
islamic_law_triggered;Islamic Law;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
islamic_law_triggered_desc;Islamic law is now the basis law code of our society. It deals with several topics including: crime, politics, and economics, as well as personal matters such as sexual intercourse, hygiene, diet, prayer, everyday etiquette and fasting.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
deportation_underway;Deportation;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
deportation_underway_desc;"People from different ethnicities are being 'encouraged' to move out of this country.";;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
treaty_port;Treaty Port;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
treaty_port_desc;This port was ceded to a foreign administration and it's a hub of trade from China to the rest of the world.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
drained_marsh;Drained Marsh;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
drained_marsh_desc;This marshland was drained and as a result it is more habitable.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
backed_down_on_promise;Backed Down on Promises;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
backed_down_on_promise_desc;Our government broke one or more important promises to our population.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
highlander_raids;Highlander Raids;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
highlander_raids_desc;Highlander raiders are looting our provinces in numbers.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
jewish_farms;Jewish Farmlands;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
jewish_farms_desc;Jews who immigrated to Israel purchased land that was mostly semi-arid, although much had been rendered untillable by deforestation, soil erosion and neglect. They set about clearing rocky fields, constructing terraces, draining swampland, reforesting, counteracting soil erosion, and washing salty land. Since independence, the total area under cultivation has increased from 408,000 acres (1,650 km2) to 1,070,000 acres (4,300 km2), while the number of agricultural communities has increased from 400 to 725. Agricultural production has expanded 16 times, three times more than population growth.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
monument_under_construction;Under Construction;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
monument_under_construction_desc;We are building a great project to celebrate our nation greatness.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
recently_built_city;Recently Built City;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
recently_built_city_desc;The capital of this province was recently built by the government, moving a lot of workers to the region to  build a city with modern infrastructure.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
law_changed_by_force;Law Changed;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
law_changed_by_force_desc;We pressured the upper house to pass an urgent reform.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
social_reformed_nation;Full Welfare State;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
social_reformed_nation_desc;Our country social reforms match every socialist demand, having some scholars call us an welfare state.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
wahhabism_in_nejd;Wahhabism;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
wahhabism_in_nejd_desc;"The 'pivotal idea' of Wahhabism teaching was that people who called themselves Muslims but who participated in such innovations were not just misguided or committing a sin, but were 'outside the pale of Islam altogether', as were Muslims who disagreed with his definition. This included not just lax, unlettered, nomadic Bedu, but Shia, Sufi, and Ottomans.";;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
russian_army;The Russian Army;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
russian_army_desc;The Russian Army may be the biggest land force of Europe, but it is poorly supplied and organized.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
landlocked_nation;Landlocked Nation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
landlocked_nation_desc;Our nation doesn't have any access to the sea, greatly increasing import costs.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
fundamentalist_sympathies;Islamic Fundamentalists;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
fundamentalist_sympathies_desc;Islamic Fundamentalists are agitating the people in this province.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
new_constitution;The New Constitution;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
new_constitution_desc;Our country issued a new constitution, guaranteeing voting and citizen rights and putting down the revolutionary flames.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
rise_of_a_nation;Rise of a Nation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
rise_of_a_nation_desc;Our proud nation is free, and our culture blossoms again.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
sounds_dues_toll;The Sound Toll;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
sounds_dues_toll_desc;The Sound Dues (or the Sound Toll) is a toll on the use of the Sound which constituted up to two thirds of Denmark's state income in the 16th and 17th centuries. The dues was introduced by King Eric of Pomerania in 1429.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
MODIFIER_DEBT_DEFAULT_TO;Debt Default To;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
generalised_debt_default;Generalized Debt Default;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
MODIFIER_GENERALISED_DEBT_DEFAULT;Generalized Debt Default;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
hunger_riots;Hunger Riots;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
desc_hunger_riots;A province where the poor are under severe hardship and that lacks an effective police force and has less money for crime fighting results in demonstrations getting out of hand and devolving in outright riots.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
preparations_to_kill;Concentration Camps;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
preparations_to_kill_desc;We are solving the minorities problem in our country. Minorities are being sorted out in concentration camps and waiting for their fate, or being delivered to it already.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
withdrew_from_geneva_convention;Withdrew from the Geneva Convention;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
withdrew_from_geneva_convention_desc;Our country is no longer a signatory of the Geneva Convention.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
genocide;Systematic Extermination;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
genocide_desc;Our aggressive policies against minorities are promoting a shift in our country.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
small_but_efficient;Small But Efficient;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
small_but_efficient_desc;Our country might be small, but that just means we can run it better.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_kiel_canal;The Kiel Canal;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_kiel_canal_desc;We own the Kiel Canal, linking the Baltic and the North Sea without the need to sail around Denmark, and we receive the dividends of its toll.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_suez_canal;The Suez Canal;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_suez_canal_desc;We own the Suez Canal, linking the Mediterranean and the Red Sea without the need to sail around Africa, and we receive the dividends of its toll and glory for its possession.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_panama_canal;The Panama Canal;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
own_panama_canal_desc;We own the Panama Canal, a huge feat of engineering linking the Pacific and the Atlantic Oceans, and we receive the dividends of its toll and glory for its possession.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
rebuilding_city;Rebuilding;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
rebuilding_city_desc;Our city is rebuilding.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
slave_growth;Slave Demographics;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
slave_growth_desc;The population of slaves changed in our country.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
assegai;Impi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
assegai_desc;Military innovations such as the assegai, the age-grade regimental system and encirclement tactics helped make the Zulu one of the most powerful nations in southern and south-eastern Africa.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
will_influence_elections;Following Elections;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
will_influence_elections_desc;We are following this year election.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
let_the_chips_fall;Not Following Elections;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
let_the_chips_fall_desc;We are not involved in this year election.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_big_army;The Big Army;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
