EVTNAME986518;The Albania Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986517;The Bosnia Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986516;The Montenegro Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986515;The Southern Serbia Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986514;The Macedonia Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986513;The Dobrudja Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986512;The Bulgaria Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986511;The Eastern Rumelia Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986510;Eastern Macedonia and the Aegean Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986508;The Thessaly Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTDESC986508;The $FROMCOUNTRY_ADJ$ government approached us with a proposal: to settle our borders and to try and end our long time animosities, to avoid any future confrontations, we should sign a treaty of friendship and exchange our rightful populations, supporting them in their resettlement and guaranteeing no harm may befall then.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME986509;The Southern Macedonia Population Exchange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVT986508OPTA;It's time for them to come home.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVT986508OPTB;No deal, $COUNTRY_ADJ$ are living in their rightful lands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME29904;Mechanized Mining;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTDESC29904;Mother! Mother! Father says that they've got new tools in the mine!'\n\nWith the invention of machine tools, and the introduction of nitroglycerin, and with it the ability to dig deeper into the mine shafts than ever before, mines are slowly being fitted with new and efficient tools to aid the excavation of the slumbering riches below the surface. Mine efficiency and size has been increased in $STATENAME$ on account of this.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
EVTNAME29900;The First Tractor in $STATENAME$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTDESC29900;Mother, mother! Old man Johnson has bought a new machine! It can plough, pull, tear, move, and you can ride on it! He says it's called a 'tractor'!'\n\nThe advent of the tractor in $PROVINCENAME$ has led to a revolution in local agriculture, with farm output increasing on a scale unfathomable a mere generation ago. Truly, the boons of industry are good unto $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
EVTNAME6016811;End of $COUNTRY$ International Zone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC6016811;Ever since we gained more territory, the international zone in our country has been less and less recognize. A congress of the Great Powers now has removed out international zone status.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT6016811OPTA;We didn't need it anyway.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTNAME971200;Coffee Rust in $PROVINCENAME$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC971200;A devastating disease is quickly spreading through $PROVINCENAME$ coffee plantations. Nicknamed 'Devastating Emily' but popularly known as coffee rust, how the disease reached $PROVINCENAME$ or where it came from remains unknown. The coffee leaves are quickly covered by a orangeish or yellowish powder - giving the disease its 'rust' name - and soon the plant dies. With entire plantations destroyed, the farmers are changing their crops to other cash crops to avoid going out of business.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT971200OPTA;At least they will turn a profit again.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTNAME90959;$COUNTRY_ADJ$ Military;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC90959;We don't need the foreign barbarians trade, technology or friendship. We are good on our own and their influence will only corrode and corrupt our society.\n\n A $COUNTRY_ADJ$ general was quoted saying during a top military meeting. Regardless of his opinion, at this time the $COUNTRY_ADJ$ military is under reformation to adopt more western methods and technologies. If we have an isolationist policy, then we won't be able to fully test, research and take advantage of the western methods. We will be unable to apply our experiences with these new reforms back as research as these reforms will be frowned upon and looked as inferior, despite their effectiveness, a necessary evil for the protection of our country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTOPTA90959;The die is cast.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTNAME90908;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC90908;"The $FROMCOUNTRY_ADJ$ governments claim that the old Treaty of Friendship and Commerce is null and void, be it by we breaking the treaty or by them claiming that they never agreed to 'perpetual occupation and government' of Macao. They sent us an ultimatum asking for the Macao back or to face strained relations and possibly war.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT90908OPTA;We have no choice but comply.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT90908OPTB;They will have to take it from our cold, dead hands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTNAME15250;The $PROVINCECULTURE$ Rite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC15250;Up until now, $PROVINCECULTURE$ priests and teachers in $PROVINCENAME$ have been allowed to conduct religious and educational services in their own tongue. This generosity on our part has apparently been excessive, since the privilege has been used to spread anti-$COUNTRY_ADJ$ propaganda among the $PROVINCERELIGION$ congregations and schools in $PROVINCENAME$. We could issue an edict to the effect that all religious and educational services must be rendered in the official language of the state, but this will exasperate the clergy and the intellectuals. Should we?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTOPTA15250;Suppress the $PROVINCECULTURE$ rite.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB15250;Leave the issue be.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME15040;The Professor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESC15040;And let the $COUNTRY_ADJ$ know that we do not sit idly by while they cull the students out of our institutions.'\n\nA local professor in $PROVINCENAME$ has been preaching national resistance against our rule, and he is but a symptom of a broader disease. In fact, much of the $PROVINCENAME$ intellectuals have been acting uppity lately.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA15040;Control the intellectuals through legislative means.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB15040;Get rid of the worst troublemakers.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME90907;The Sino-$FROMCOUNTRY_ADJ$ Treaty of $CAPITAL$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC90907;"For the administration of Macao, the $FROMCOUNTRY_ADJ$ government owe us several duties: payment of rent, customs and authorization for a $COUNTRY_ADJ$ official to inspect shipments and collect taxes. All these duties have been long overdue. The $FROMCOUNTRY_ADJ$ refuses to meet their obligations and agreed terms. Today a $FROMCOUNTRY_ADJ$ envoy arrived in $CAPITAL$ offering a treaty of friendship and commerce that, if signed, would remove several of these obstacles and duties for the $FROMCOUNTRY_ADJ$ government. The main points of such a treaty would be the confirmation of Macao's 'perpetual occupation and government' by the $FROMCOUNTRY_ADJ$ government, which is a disputed translation with our officials, and $FROMCOUNTRY$'s promise never to alienate Macao and dependencies without a previous agreement with us. Signing it means making a friend in Europe but not signing it might mean making some enemies.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT90907OPTA;It's just a small village anyway.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVT90907OPTB;We will not be bullied in an unequal treaty.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTNAME2570;$COUNTRY_ADJ$ Living Space!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
EVTDESC2570;$MONARCHTITLE$, the military high command has devised a cunning plan to increase the size of the $COUNTRY_ADJ$ living space through military conquest. By staging a military incident with one of our neighbors, we can make our people and the world believe that we are under attack, and the resulting military occupation and annexation of a neighboring country always look that much better when you are not perceived as the aggressor. Shall we go ahead with the plan? Shall we send our armies sweeping forth across the continent? Shall we spread terror and unheard of horrors to our enemies? Shall we...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
DISABLE_UNIT_TECH;Disables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTNAME6016812;The Commissioned $FROMCOUNTRY_ADJ$ Warship Arrives;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESC6016812;The ship is built partly of iron and partly of steel, completely belted with 360mm of armor, with a 380mm backing, and has the central battery armored with plates of 240mm in thickness. The engines are two in number, horizontal, and of the compound two cylinder type, developing a horsepower of 6,071, which on the trial trip gave a speed of 14.66 knots. Five hundred and ten tons of coal are carried in the bunkers, which at a speed of 10 knots should enable the ship to make a voyage of 2,800 nautical miles. The offensive power of the ship consists of seven breech-loading rifled guns of 27 centimeters, weighing 24 tons each, six breech-loading rifled guns of 14 centimeters and machine guns of the Hotchkiss systems. Four of the 27 centimeters are in the central battery, two on each broadside and three on the upper deck in barbettes, one on each side amidships and one aft.\n The warship we commissioned is ready and arrived in one of our naval bases.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT6016812OPTA;A fine addition for our navy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTNAME955201;The Luhonono Purchase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESC955201;The $FROMCOUNTRY_ADJ$ government approached us with a proposal to buy Luhonono so they can annex it to $COUNTRY_ADJ$ Namibia. The small strip of land isn't densely population nor does it hold any vital resources, so selling for the money or even as an act of goodwill is an option.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT955201OPTA;We agree to their terms.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT955201OPTB;Our lands are not for sale.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTNAME955200;Conquest of Luhonono;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESC955200;As part of our African colonies Luhonono, as the natives call a small strip of land north of Tswana territory, would be of vital importance for our access to the heart of Africa. As other powers encroach the region, the best move would be to quickly occupy the strip of land to guarantee our access to the untold riches of the dark continent.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT955200OPTA;Nothing will hinder our colonization efforts.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTNAME49518;The Treaty of Simulambuko;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESC49518;With the colonial powers of Europe having met at the Congo Conference to decide the orderly division of the African continent, pressure for $FROMCOUNTRY$ to occupy the lands they laid claims to built up. Their diplomats have been in close contact with the princes of Cabinda and with additional urging they were able to conclude a treaty forcing the Kongolese to surrender it over their Angolan claims. Under the Conference's principle of effective occupation, the land they took is theirs by right. They did violate our sphere by negotiating directly with the Congo though, so that could be used as a justification to retaliate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT49518OPTA;It's not a big deal anyway.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVT49518OPTB;We will make sure they won't be able to violate our sphere again.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTOPTB10330;Let the boys in blue have their way with these fomenters of revolution.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
EVTDESC81002218;The Convention regarding the Organization of the Statute of the Tangier Zone has decided that Tangier shall be made an international zone, ruled by the sultan of Morocco as a neutral and demilitarized zone. We, however, currently hold Tangier and the great powers are urging us to abide to the Convention's decision.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA81002218;We will abide.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB81002218;They will have to take it from our cold, dead hands.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
agreed_to_tangier_protocol;Agreed to the Tangier Protocol;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME81002217;The Tangier Protocol Fails;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC81002217;In $YEAR$, the great powers of Europe assembled together to decide the fate of Morocco and its sultan with the Tangier Protocol. The $COUNTRY_ADJ$ government proposed  the creation of a 373-square-kilometer international, neutral and demilitarized zone centered on the city of Tangier and temporal powers and jurisdiction of the natives to the Moroccan sultan. However, negotiations broke down and no consensus could be reached. There are doubts if the proposal was outright reject, if it couldn't find enough supporters or if it was shelved but the fact remains that the Tangier Protocol is dead in the water, a great blow to $COUNTRY_ADJ$ diplomacy.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA81002217;A waste of diplomatic effort.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME81002216;The Tangier International Zone;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC81002216;In $YEAR$, the great powers of Europe assembled together on the initiative of $COUNTRY$ and decided the fate of Morocco and its sultan with the Tangier Protocol. It was decided that a 373-square-kilometer international, neutral and demilitarized zone centered on the city of Tangier was to be created. The sultan of Morocco was given sovereignty and jurisdiction over the native population. Thus, the great powers hoped that the current conflicts over Morocco would end.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA81002216;The Sultan shall reign once more.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME81002215;The Tangier Protocol;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC81002215;The Tangier Protocol, formally known as the Convention regarding the Organization of the Statute of the Tangier Zone, is a diplomatic proposal over the fate of Sultan of Morocco and Tangier brought forward by the $FROMCOUNTRY_ADJ$ government. The proposal is to create a 373-square-kilometer international zone centered on the city of Tangier, North Africa under the joint administration of the signatory countries, with the Sultan of Morocco retaining sovereignty over the zone and jurisdiction over the native population. Tangier is to be made a neutral demilitarized zone so it will solve disagreements between the great powers on who should control it.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA81002215;We agree to the proposal.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB81002215;It doesn't suit our interests.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME111100;The $FROMCOUNTRY_ADJ$ Demands;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC111100;The $FROMCOUNTRY_ADJ$ approached us with an outrageous demand: we are to surrender the entire Albanian territory so their Yugoslavian allies can have more power. They are asking us nicely this time, but refusing them can mean war.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT111100OPTA;We have no choice but to abide.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT111100OPTB;They will take it from our cold, dead hands.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME97120;Unification of Laos;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC97120;The Lao people have been called to unite under a single banner.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT97120OPTA;We will answer the call!;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT97120OPTB;We will remain independent.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955191;Revolution in $COUNTRY$;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955191;With the end of the $COUNTRY_ADJ$ monarchy, the fate of the Congo as the old king private possession is now uncertain. There are several bills in the Upper House about its destiny, from annexation as a colony to letting them be free. The Great Powers are not sure how to proceed as the Conference recognized the old monarch as the ruler of the Congo but our close ties and already de facto administration of it gave us a prime position in deciding its fate.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955191OPTA;We will run it as a colony.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955191OPTB;We will continue the philanthropic work.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955191OPTC;Let them be free.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955190;Civilizing Congo;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955190;The $COUNTRY_ADJ$ $MONARCHTITLE$ kept his word and the Congo was ran as a philanthropic and humanitarian endeavor. He drove the slavers from the Congo basin, helped the natives modernize and civilize, he kept the Congo open for trade with all the nations. A few abuses were reported here and there, but this was usually passed as corruption or power abuse. The $MONARCHTITLE$ was never involved or held liable for those. This situation, however, led to the Great Powers closely watching the Congo and an international recognition of the Congo right to exist. This means that colonizing the Congo is a path that we can no longer trail.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955190OPTA;Our work in the Congo is almost done.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955189;The Congo Colony;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955189;In direct violation of his promises of free trade within the CFS under the terms of the Congo Treaty, not only had the State become a commercial entity directly or indirectly trading within its dominion, but also the $COUNTRY_ADJ$ $MONARCHTITLE$ had been slowly monopolizing a considerable amount of the ivory and rubber trade by imposing export duties on the resources traded by other merchants within the CFS. Despite all that, improvements in the Congo had been made and there was no over exploitation of the natives. Running the risk of corporations causing a humanitarian disaster because of over exploitation, the $COUNTRY_ADJ$ upper house decided, in a move coordinated and approved by other Great Power, to remove the $MONARCHTITLE$ as the sole personal ruler of the Congo and put it under control of $COUNTRY$ with all the legal institutions and guarantees that came with it. The corporations and the $MONARCHTITLE$ will be throughly compensated for the change.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955189OPTA;A new era begins for the Congo.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955188;'The baskets of severed hands, set down at the feet of the European post commanders, became the symbol of the Congo Free State. The collection of hands became an end in itself. Soldiers brought them to the stations in place of rubber, they even went out to harvest them instead of rubber... They became a sort of currency. They came to be used to make up for shortfalls in rubber quotas, to replace... the people who were demanded for the forced labour gangs, and the soldiers were paid their bonuses on the basis of how many hands they collected.' The mass-deaths in the CFS became a cause célèbre in $YEAR$. The Congo reform movement led a vigorous international movement against the maltreatment of the Congolese population. The $COUNTRY_ADJ$ $MONARCHTITLE$ offered to reform his regime, but international opinion supported an end to the $MONARCHTITLE$'s rule and finally, yielding to international pressure, the Upper House of $COUNTRY$ annexed the Congo Free State in $YEAR$.;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME14670;The Heart of Darkness;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC14670;'And it was only when I saw how they treated them... that I. There was this one child, I remember him well. Eight... nine, maybe. They all had quotas for how much to pick each day, and that one day. He didn't fulfill his. Don't ask me why. I... his hands...!'\n\n$COUNTRY$ is in shock, as a major European newspaper published a report today on the conditions in one of her colonies. Brutal mistreatment of natives, corporal punishment and repeated instances of bodily mutilation have all been established means of maintaining the colonial order in the colony, in mines and on plantations, which have all been kept outside the influence of the Colonial Office through an elaborate system of bribes and corruption.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
EVTOPTA14670;$COUNTRY$ apologizes for nothing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;
EVTOPTB14670;We accept full responsibility for the wrongs committed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
EVTNAME955187;Statesmanship in the Congo;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955187;As the Congo is the private property of the $COUNTRY_ADJ$ $MONARCHTITLE$, we need to decide every three years how the country will be run for the next three years. Being too lenient and using it solely for philanthropic work might cement the country's destiny as a civilizing experiment, forever barring it from being a colony. Pushing the natives to meet the production quotas, on the other hand, might lead to abuse that can give our opposition and the humanitarian organizations some ammunition against us. While that will not hinder any plans of colonizing the Congo, it will certainly affect our reputation in the eyes of the world. The optimal solution would be maintaining balance for long enough that the philanthropic excuse doesn't collapse at the same time that our imperialistic plans for the Congo slowly become recognized and legitimized. Unfortunately for that, running the Congo is a costly affair and can easily leave us with debt.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955187OPTA;The Congolese WILL meet their production quotas.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955187OPTB;We don't need to push them too hard.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT955187OPTC;A little philanthropic work never hurt anybody.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME37707;Madoz's Confiscations;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC37707;In $YEAR$, needing cash for the state, the Minister of Public Wealth, Pascual Madoz, ordered the confiscation of all communal and public lands and this led to a greater degree of centralization of state power. Properties owned by municipalities, military orders, hospitals, hospices and casas de misericordia (charity homes) were confiscated and sold to raise funds for the State. The negative consequences were suffered not only by the agents of these institutions but by the poorer villagers, who used the municipal commons for their subsistence. When these lands were placed in private hands, they could no longer use them.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA37707;Confiscate because we need cash.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB37707;The people need those lands!;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTC37707;We shall find another way to get some money.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955186;The Congo's Destiny;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC955186;With the Berlin Conference coming to an end and the great powers moving in Africa according to the principle of effective occupation, the creation of the Congo Free State became a reality and the $MONARCHTITLE$'s dominance over it was internationally recognized. The $MONARCHTITLE$ pledged to suppress the East African slave trade, promote humanitarian policies, guarantee free trade within the colony, impose no import duties for twenty years and to encourage philanthropic and scientific enterprises. Beginning in $YEAR$, however, the $MONARCHTITLE$ began to issue a series of decrees that violated these conditions. It was first decreed that the State asserted rights of proprietorship over all vacant lands throughout the Congo. Afterwards, the rights of the Congolese were reduced in their land to native villages and farms, making nearly all of the CFS crown lands. We can continue these policies which will lead to an eventual annexation, revert them or simply take control of the CFS, dealing with the consequences.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT955186OPTA;The Congo will be ruled as the $MONARCHTITLE$'s private property for our benefit.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT955186OPTB;We don't need to keep the facade anymore, annex the Congo. Deal with the natives.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT955186OPTC;The Congo Free State is a philanthropic endeavor.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT955186OPTD;Onwards to $COUNTRY_ADJ$ Congo!;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVT955186OPTE;Onwards to Bakongo's Congo!;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME955185;The Conference Ultimatum;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
