buying_djibuti_title;The Obok Purchase;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
buying_djibuti_desc;The port city of Obok and the surrounding lands are ruled by several independent sultans. We could give them gifts to show them our good will, one diplomat reports, as we are close to striking a deal to buy the city which will also give us claims to the surrounding lands.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_japanese_tech_school_title;Adopt the Shukensen-Riekisen Doctrine;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_japanese_tech_school_desc;$COUNTRY$'s militaristic attitude intensified as government leaders recognized the need to ensure the defense of the country against Russia and other Western powers. Observing the advanced technological achievements and superior military and naval power of the West, $COUNTRY$ had fears of being invaded by a Western country such as Russia. Also, with China being so weak militarily and economically in the late 19th century, $COUNTRY_ADJ$ leaders feared the rivalries of the Western powers could bring China to collapse, which would have profound implications on the security of $COUNTRY$. A prominent $COUNTRY_ADJ$ officer recommended that $COUNTRY$ not only protect its line of sovereignty (shukensen) but also strive toward its line of advantage (riekisen), which meant that $COUNTRY$ should extend its influence and control beyond its national borders in order to ensure its security. He advocates expansionism more for security reasons rather than for conquest as an end in itself or for other reasons.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
limburg_crisis;Limburg Crisis;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_slavery_title;Abolish Slavery;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_slavery_desc;"Slavery is legal in our nation, but no slaves are found in our fields. With slavery becoming rarer and rarer in the world, the more liberal and abolitionist sectors of our society could gain enough power to pass a bill in the UH, arguing that 'abolishing this outdated institution from our country will elevate our us in the eyes of the civilized nations'. With a little push from the $MONARCHTITLE$, this new bill can become a reality.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
international_african_association_title;Found the International African Association;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
international_african_association_desc;"The creation of such institutions such as the International African Association, also known as the International Association for the Exploration and Civilization of the Congo, would be a first great step to further our interests in Congo. We will invite many well-known experts, who are mainly schooled in the geographic sciences or are wealthy philanthropists. We can volunteer space in $CAPITAL$ for the International African Association's headquarters and set up national committees of the association in all the participating countries, as well as an international committee. The stated goal of the group is to discover the largely unexplored Congo and civilize its natives. Behind the scenes, however, the $COUNTRY_ADJ$ $MONARCHTITLE$ is rumored to have said 'I do not want to risk... losing a fine chance to secure for ourselves a slice of this magnificent African cake'. Through these associations, we can explore the Congo basin and this initiative could in the end pave the way for the creation of a Congo colony controlled by $COUNTRY$.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_confederation_is_legitime;Treaty of La Paz Enacted;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_indian_territory_title;Organize Indian Territory;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_indian_territory_desc;With the passage of the Indian Removal Act and subsequent Indian relocations it is our responsibility to organize the territory in a way that promotes stability and autonomy for the native peoples of the region.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT45104OPTA;Hispaniola must be united!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT45104OPTB;Onwards to Santo Domingo!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexation_santo_domingo_title;The Annexation of the Dominican Republic;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexation_santo_domingo_desc;Recently a bill came in the Upper House asking for the annexation of the Dominican Republic. The small country shares an island with Haiti, which fiercely opposes the country's independence and claim the territory is part of Haiti, and is troubled by corruption and financial troubles. Some of the most enthusiastic proponents of the bill already contacted the dictator of the country and assured us that if we grease some palms we will have a plebiscite petitioning for annexation in no time. However, the Great Powers will most probably see through the ploy and there's still the matter of convincing our own upper house that such annexation would be beneficial to us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_banatia_title;Establish Banatia;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_banatia_desc;Banat is geographically referred to as a part of the Pannonian Basin bordered by the River Danube to the south, the River Tisa to the west, the River Mures to the north, and the Southern Carpathian Mountains to the east. In order to best protect our interests, cementing our presence in the west would allows us to protect more Germans and increase our power.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
londonderry_renaming_act_title;Renaming Londonderry;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
londonderry_renaming_act_desc;The province previously known as Londonderry has recently came into our possession. Having been in foreign hands with a foreign name for so long, it's time to return its rightful name.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
offer_to_buy_cuba_title;Offer to Buy Cuba;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
offer_to_buy_cuba_desc;With the recent unrest in Cuba, the prospect of the Spanish government possibly selling the island to the United States has arisen. Should we attempt to pursue negotiations?;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_foster_act_title;The Forster Act of $YEAR$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_foster_act_desc;William Edward Forster drafted the first Education Act in $YEAR$. It required partially state-funded board schools to be set up to provide primary (elementary) education in areas where existing provision was inadequate. Board schools were managed by elected school boards. The schools remained fee-charging, but poor parents could be exempted. The Act meant that compulsory attendance at school ceased to be a matter for local option, as children had to attend between the ages of 5 and 10, with exceptions such as illness, if children worked, or lived too far from a school.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reform_the_local_government_title;Reform the Local Government;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reform_the_local_government_desc;Our nation is constituted of several smaller divisions, sometimes republics or local governments that while not independent retain some old institutions and forms of government. By reforming these institutions, these places will have the same political reforms and institutions as us.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tunisian_colony_title;The $COUNTRY_ADJ$ Protectorate Over Tunisia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tunisian_colony_desc;Tunisia has been in a bad situation over the last years, on the border of bankruptcy. Their overlords hold on them grows weak and our control over them grows stronger each passing day. It's time to intervene in their local politics, guarantee that they pay their debts and that they run their country like it should be ran - an efficient colony that we can use.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
founding_yadanabon_title;Found the City of Gems;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
founding_yadanabon_desc;"In $YEAR$, King Mindon of $COUNTRY$ ordered a new royal capital to be built at the foot of Mandalay Hill in order to fulfill a prophecy on the founding of a metropolis of Buddhism in that exact place on the occasion of the 2,400th jubilee of Buddhism. The new capital city site was 66 km2 in area, surrounded by four rivers. The plan called for a 144-square block grid patterned citadel, anchored by a 16 square block royal palace compound at the center by Mandalay Hill. The 1020-acre citadel was to be surrounded by four 2,032 m long walls and a moat 64 m wide, 4.6 m deep. At intervals of 169 m along the wall, turrets were built with gold-tipped spires for watchmen. The walls had three gates on each side, and five bridges to cross the moat. In addition, the king also commissioned the Kuthodaw Pagoda, the Pahtan-haw Shwe Thein upasampada hall, the Thudamma 'Good Dharma' zayats or public houses for preaching Buddhism and a library for the Pali Canon. The former royal palace of Amarapura was dismantled and moved by elephants to the new location at the foot of Mandalay. This new city would be named Yadanabon - City of Gems, a reference to the Valley of Rubies, 200km to the north in the Mogok mountains.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_guine_bissau_title;Organize Guinea-Bissau;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_guine_bissau_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pick_up_a_tech_school_title;Choose a Tech School;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pick_up_a_tech_school_desc;If we are to advance as a nation, we need to pick a direction for our research.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
close_pick_up_a_tech_school_title;Hide Tech Schools Decisions;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
close_pick_up_a_tech_school_desc;We are still not decided on the direction our nation research should take.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_champasak_title;Annex Champasak;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annex_champasak_desc;With the end of the last war with Siam, we are in a position to demand their Champasak vassal and annex it to our colony in Indochina.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ivory_coast_conquest_title;The Annexation of the Ivory Coast;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ivory_coast_conquest_desc;Several English, Dutch and Portuguese settlements and trade posts were established and eventually faded away in the Ivory Coast. If we are to establish a protectorate in the mainland we need to start controlling the coast.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christimas_and_cocos_adminstration_title;The Christmas and Cocos Transfer;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christimas_and_cocos_adminstration_desc;The governor of Australia petitioned that we let them administer the Christmas and Cocos islands, arguing that the supplies already come from Australia and it would be much more efficiently administered from a nearby region.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_colonial_armies_title;Reform the $COUNTRY_ADJ$ Colonial Army;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_colonial_armies_desc;In the past, the amount of overseas colonial troops we had available was limited by logistic factors. Ships, orders, troops and officers took a long time to arrive and the control over the land coupled with the unwillingness of the natives inhabitants to cooperate meant that we didn't realize the full potential of our colonies. We now posses the technology to change that.\n\n§RNOTE: This decision increases the maximum allowed percentage of non animist soldier pops in colonies from 1% to 2%. Animist pops still need to convert before they can go over 1%.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colonial_armies;Colonial Army Reformed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquest_of_mocamedes_title;The Moçâmedes Expedition;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquest_of_mocamedes_desc;The bay that the called Angra do Negro was first explored by the Portuguese in 1785, and was claimed for Portugal by Luís Cândido Cordeiro Pinheiro Furtado, who had been sent there in the frigate Loanda by the then governor-general of Angola, Baron Moçâmedes, who also sent an overland expedition headed by Gregório José Mendes to rendezvous with Furtado. It was they who renamed the bay Moçâmedes in honor of the man who had sent them. In $YEAR$ the then governor-general of Angola sent a fresh expedition to subdue the Sobas or chieftains of the region and establish them as vassals of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_1854_plan_title;The Plan of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_1854_plan_desc;"Born into a lower-middle-class family in Lille, Louis Faidherbe is a sub-director of engineers in the colonies of Senegal. He plays a central role in the implementation of 'The Plan of $YEAR$': a series of ministerial orders given to Governor Protet of Senegal that originated in petitions from the powerful Bourdeaux-based Maurel and Prom company, the largest shipping interest in Saint-Louis. The plan specified in detail the creation of forts along the Sénégal River to end African control of the acacia gum trade from the interior. Faidherbe's push to build fortifications farther out generated conflicts with Protet, and his protests to Paris over Protet's inaction quickly awarded him some sympathy in the government. If we were to appoint him to chef de bataillon and then governor of the colony, we could quickly put the plan in action and take control of the coastal Wolof kingdoms.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_north_title;Claim the Great North;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_north_desc;The vast northern territories have long been on the rim of our control. We need to cement our claim in the area and claim the north.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cheju_treaty_port_title;The Cheju Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cheju_treaty_port_desc;The Cheju (or Jeju) island, south of Korea, lies in the Korea Strait between Japan and Korea. According to the local legend, three demigods emerged from Samsung which is said to have been on the northern slopes of Mt. Halla and became the progenitors of the Jeju people who founded the Kingdom of Tamna. During the Joseon Dynasty of Korea Jeju islanders were treated as foreigners and Jeju was considered as a place for horse breeding and exile for political prisoners. In the 17th Century, Injo of Joseon issued an edict prohibiting islanders from traveling to the Korean mainland. Despite the poverty, the Island would serve as a good base to exert influence over Korea and Japan and it's the place that's more likely to be ceded - the current owners don't care about it too much.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zanzibar_treaty_port_title;The Zanzibar Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zanzibar_treaty_port_desc;"Zanzibar, coming from zangi, a Persian name of a local people, said to mean 'black,' and the Persian bar, which means coast or shore. The Zanzibar Archipelago consists of several islands lying off the coast of East Africa in the Indian Ocean. There are three main islands plus a number of smaller islets that surround them and an isolated tiny islet. Zanzibar is the center of the Arab slave trade and projects its power over a long strip of land in Eastern Africa. It would serve as an excellent base of operations and coaling station in East Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socotra_treaty_port_title;The Socotra Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socotra_treaty_port_desc;"A small archipelago of four islands in the Indian Ocean, Socotra has been inhabited since the 1st-century AD, appearing as Dioskouridou ('of the Dioscuri') in the Periplus of the Erythraean Sea, a Greek navigation aid. The main city of the island is called Hadibu and with a garrison, a fort and a port, the island would be an ideal place for a coaling station for our ships coming and going from India and Eastern Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gwadar_treaty_port_title;The Gwadar Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gwadar_treaty_port_desc;"Gwadar - meaning 'The gateway of wind' in baluchi - is a strategic warm-water deep-sea port and city located on the southwestern Arabian Sea coastline. In 1783, the Khan of Kalat Mir Noori Naseer Khan Baloch granted suzerainty over Gwadar to Taimur Sultan, the defeated ruler of Muscat. It's location would serve as a defensible and well located coaling station between India and Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ningbo_treaty_port_title;The Ningbo Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ningbo_treaty_port_desc;Ningbo is one of China's oldest cities, with a history dating to the Hemudu culture in 4800 BC. Ningbo was known as a trade city on the silk road at least two thousand years ago, and then as a major port, along with Yangzhou and Guangzhou in the Tang Dynasty, thereafter, the major ports for foreign trade in the Song Dynasty. A walled city sandwiched between the ocean and low-lying mountains to the southwest, with coastal plain and valleys in between, it plays an important role in controlling the important peninsulas of Chuanshan and Xiangshan Peninsula. During the Ming and Qing Dynasties, the textile industry flourished in Ningbo.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_lebanon_title;Shuffle Lebanon's Ruling Faction;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_lebanon_desc;Lebanon is a tangled web of religious minorities - a lot of times hostile to each other. They would serve us better if a faction that isn't hostile to our government was in power.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_lebanon_title;Organize Lebanon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_lebanon_desc;We should organize the colony of Lebanon to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our chosen group, of course.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kwangchowan_treaty_port_title;The Kwangchowan Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kwangchowan_treaty_port_desc;"Kwangchowan - meaning 'Guangzhou Bay' - is situated in Guangdong Province (Kwangtung Province) on the east side of the Leizhou Peninsula, north of Hainan. The bay of Kwangchowan and the villages and cities in it could provide a good source of income. Right now the cities are commercially unimportant but strategically located, so it can grow to rival the most profitable cities in China.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hainan_treaty_port_title;The Hainan Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hainan_treaty_port_desc;The city of Zhuya (Shore of Pearls), name for the famous pearl fisheries of the region, now known as Qiongshan is an important stop to Shanghai and Formosa. Controlling it would give control over all of Hainan and would make an important coaling station.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
taipei_treaty_port_title;The Taiwan Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
taipei_treaty_port_desc;The Taipei area is where the major Han Chinese settlements in northern Taiwan and one of the designated overseas trade ports, Tamsui, are located. The area gained economic importance due to the booming overseas trade, especially that of tea export. Controlling it would mean controlling Taiwan and a good amount of the tea trade.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jiaxing_treaty_port_title;The Jiaxing Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jiaxing_treaty_port_desc;Jiaxing is well known as the 'hometown of silk' and it's a famous producer of textiles and woolens. While not being as important as neighboring Shanghai, its acquisition would surely help our textile industry.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
weihaiwei_treaty_port_title;The Weihaiwei Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
weihaiwei_treaty_port_desc;The port of Weihaiwei serves as the base for the Beiyang Fleet (Northern Seas Fleet) for the Qing Dynasty. Along with Lüshun, it provides a strategic point for the control of the Korea Bay and the Bohai Gulf. Controlling it would put our fleets at the door of the imperial capital of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lushun_treaty_port_title;The Lüshun Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lushun_treaty_port_desc;Sprawling around the narrowest neck of the Liaodong Peninsula, occupying the Southern Tip, Lüshun, also known as Port Arthur, is in a crucial point. It guards the entrance the Imperial Capital of China and the Bohai Sea. Controlling it would provide a strategical hold on the Bohai Gulf and the Korean Bay.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qingdao_treaty_port_title;The Qingdao Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qingdao_treaty_port_desc;Qingdao is a sleepy fishing town undergoing dramatic changes - a naval station and garrisons were built by the rulers of the Qing dynasty and the increasing presence of western ships is increasing its importance. It would be an splendid gateway to northern China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shanghai_treaty_port_title;The Shanghai Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shanghai_treaty_port_desc;For centuries a major administrative, shipping, and trading town, Shanghai grew in importance in the 19th century due to European recognition of its favorable port location and economic potential. This potential can be fully realized under $COUNTRY_ADJ$ administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hong_kong_treaty_port_title;The Hong Kong Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hong_kong_treaty_port_desc;China is the main supplier of its native tea to Europe, whose annual domestic consumption reached 30,046,935 pounds (13,629,060 kg) in 1830, an average of 1.036 pounds (0.470 kg) per head of population. From the $COUNTRY_ADJ$ economic standpoint, Chinese tea was a crucial item since it provides massive wealth for the taipans — foreign (especially $COUNTRY_ADJ$) businessmen in China — while the duty on tea accounted for 10% of the government's income. With a base in Hong Kong our tea and opium trade will profit immensely and the city will, without a doubt, bring us a lot of profit.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macao_treaty_port_title;The Macao Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macao_treaty_port_desc;Macao lies on the western side of the Pearl River Delta across from Hong Kong. If we are to access the riches of Guangdong and the south of China, controlling Macao would be a good start.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qeshm_treaty_port_title;The Qeshm Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qeshm_treaty_port_desc;Located in a central point in the Hormuz Strait, the island and city of Qeshm serves as a vital route and trade link to India, East Africa and Persia. Its position in the Persian Gulf is central for the control of the Hormuz Strait.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ifni_treaty_port_title;The Ifni Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ifni_treaty_port_desc;The Ait Baamran tribe has long inhabited the small town of Ifni and the region surrounding it. They work in husbandry and trade with Europeans and northern Morocco being intermediaries in the trans-Saharan trade. Ifni would serve as an excellent coaling station to central and south Sahara.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
russification_of_finland_title;The Russification of Finland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
russification_of_finland_desc;"Having enjoyed prosperity and control over their own affairs, and having remained loyal subjects for nearly a century, the manifesto which the $MONARCHTITLE$ issued on $YEAR$ was cause for Finnish despair. The manifesto was forced through the Finnish senate by the deciding vote of the senate president, an appointee of the $MONARCHTITLE$ — and after the governor-general of Finland, Nikolay Bobrikov, had threatened a military invasion and siege. While ostensibly affirming the Finns' rights in purely local matters, the manifesto asserted the authority of the state in any and all matters which could be considered to 'come within the scope of the general legislation of the empire'. The main policies enacted were:\nThe conscription law, incorporating the Finnish army into the imperial army.\nThe Language Manifesto of $YEAR$ which made Russian the language of administration of Finland.\nThe Orthodox Russian Church was the church of state, including, for example, criminalizing the act of subjecting a follower of the Orthodox church to a Lutheran church service.\nThe Manifesto of $YEAR$ which asserted the imperial government's right to rule Finland without the consent of local legislative bodies, including press censorship and restrictions of Russian currency and stamps as the only ones allowed.\nOur Finnish subjects will surely not like this and they might try to resist.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_neuchatel_issue_title;Press our Claims in Neuchatel;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_neuchatel_issue_desc;We can try to pressure Switzerland over our claim in Neuchatel to finally settle the issue over the ownership of the territory. This will, however, anger the Great Powers of Europe.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
access_to_the_rhine_title;Access to the Rhineland;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
